d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
17,0,165,0
0,3,13,38
0,0,4,68
1,0,5,4
0,0,6,2
1,0,5,18
0,0,5,3
2,2,15,7
0,2,2,47
0,1,4,39
0,2,14,66
1,1,3,71
1,7,0,32
4,1,4,46
3,13,9,59
0,0,5,15
7,0,10,7
7,13,7,26
27,24,14,38
3,29,8,40
2,1,13,3
6,16,15,30
4,4,5,45
2,5,7,9
1,0,8,4
2,0,11,2
0,0,5,10
0,6,1,32
4,5,3,11
0,1,0,10
7,1,19,3
2,4,14,14
0,0,5,8
1,1,6,4
1,0,11,2
2,1,19,34
1,10,11,21
1,2,25,9
0,1,12,4
0,0,4,0
1,0,5,17
0,0,6,4
1,0,29,6
2,0,16,7
1,0,2,17
0,0,2,1
1,2,9,12
0,3,3,39
2,3,47,27
