time_zone,start_date,start_time,lat,long,stay_duration,Is_Bus_stop,Is_Turn,Is_Signal,Is_Congestion,Is_Adhoc,estimated_stay_duration
Afternoon,2019-09-16,16:44:37,23.494398592647062,87.31681331264701,68,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,16:46:26,23.4932563988158,87.31626351203953,152,1,0,0,1,0,24.16631130063966
Afternoon,2019-09-16,16:50:15,23.49641117933333,87.31366082466667,15,1,0,0,0,0,24.16631130063966
Afternoon,2019-09-16,16:52:11,23.50022121115385,87.3058867369231,26,1,0,0,0,0,24.16631130063966
Afternoon,2019-09-16,16:53:30,23.503229618125,87.3074479775,16,1,0,1,0,0,24.16631130063966
Afternoon,2019-09-16,16:55:47,23.510382526666664,87.31050765333333,3,0,1,0,0,0,21.441935483870967
Afternoon,2019-09-16,16:59:29,23.526513332352945,87.31126733823531,17,0,1,0,0,0,21.441935483870967
Afternoon,2019-09-16,17:01:10,23.52429281,87.31604166,1,0,0,0,0,1,10.388739946380698
Afternoon,2019-09-16,17:01:27,23.52368506,87.3166465,1,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:01:46,23.52302373166667,87.317291465,12,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:02:20,23.52378946,87.31796354333333,6,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:02:57,23.52441245,87.31639046000001,4,0,0,0,0,1,10.388739946380698
Afternoon,2019-09-16,17:04:31,23.52821978,87.311146595,2,1,1,0,0,0,24.16631130063966
Afternoon,2019-09-16,17:06:54,23.536886528000004,87.301602949,10,1,0,0,1,0,24.16631130063966
Afternoon,2019-09-16,17:07:36,23.53595123333333,87.30024926,3,0,1,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:08:28,23.53542204623455,87.29679162802465,162,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:11:54,23.537483646060608,87.29659485575756,33,1,1,0,1,0,24.16631130063966
Afternoon,2019-09-16,17:12:56,23.53829209,87.29566452249999,8,0,1,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:13:47,23.53902178233334,87.29319193766665,30,1,0,0,1,0,24.16631130063966
Afternoon,2019-09-16,17:15:08,23.541912124444448,87.28975595962963,27,1,1,0,0,0,24.16631130063966
Afternoon,2019-09-16,17:16:03,23.543049319599994,87.2903173492,25,0,0,0,0,1,10.388739946380698
Afternoon,2019-09-16,17:16:53,23.544270785,87.28848902000001,4,0,1,0,0,0,21.441935483870967
Afternoon,2019-09-16,17:17:06,23.5441431825,87.28809175125,8,1,0,0,0,0,24.16631130063966
Afternoon,2019-09-16,17:18:00,23.542833254545453,87.28640210545456,11,0,0,0,0,1,10.388739946380698
Afternoon,2019-09-16,17:18:42,23.54384617,87.28428403,1,0,0,0,0,1,10.388739946380698
Afternoon,2019-09-16,17:19:09,23.544460456000003,87.282884726,10,1,0,0,1,0,24.16631130063966
Afternoon,2019-09-16,17:19:38,23.54500103,87.2816740090909,11,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:19:57,23.54538420882353,87.28131448117647,17,1,1,0,0,0,24.16631130063966
Afternoon,2019-09-16,17:20:50,23.546955161290324,87.28249530451612,31,1,0,0,0,0,24.16631130063966
Afternoon,2019-09-16,17:21:45,23.548211894615385,87.28357372615385,13,0,0,0,0,1,10.388739946380698
Afternoon,2019-09-16,17:22:57,23.551127229375,87.285909024375,16,1,0,0,0,0,24.16631130063966
Afternoon,2019-09-16,17:23:42,23.55243763125,87.286935303125,16,1,1,0,1,0,24.16631130063966
Afternoon,2019-09-16,17:24:11,23.55296443,87.28680329,1,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:24:18,23.55329162,87.28667048,5,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:24:35,23.55390345,87.28631478785714,14,1,0,0,1,0,24.16631130063966
Afternoon,2019-09-16,17:24:55,23.554229106666668,87.28616828000001,3,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:25:01,23.55449524,87.28600109,1,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:25:23,23.55553321857143,87.28548186,14,1,1,0,0,0,24.16631130063966
Afternoon,2019-09-16,17:25:55,23.55613855428572,87.28640254142859,7,0,1,0,0,0,21.441935483870967
Afternoon,2019-09-16,17:26:58,23.5590325565296,87.28461058163562,6,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:27:40,23.56088705,87.28380808,1,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:27:57,23.5616704,87.28335438333333,3,0,0,0,1,0,23.918650793650794
Afternoon,2019-09-16,17:28:17,23.562221585,87.283079535,2,0,1,0,1,0,23.918650793650794
