d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
9,0,33,0
7,0,74,1
0,0,4,48
0,6,3,25
0,1,1,16
0,0,3,1
0,1,2,12
1,1,3,56
3,2,3,23
1,5,5,9
1,0,5,3
0,4,6,43
0,1,4,37
0,0,4,0
0,1,10,11
0,0,2,19
0,0,3,23
0,0,3,25
0,0,5,4
0,0,3,95
0,0,10,10
1,0,16,6
1,0,22,56
0,0,10,1
2,0,3,4
0,0,5,0
0,0,23,15
2,0,3,75
4,7,1,85
1,0,4,9
3,0,5,1
0,5,3,6
1,4,4,15
4,3,17,13
10,4,12,18
9,14,33,16
2,2,3,10
1,8,1,11
43,0,7,3
4,9,3,12
3,15,6,42
5,3,3,10
9,14,1,23
1,0,17,2
0,0,3,0
0,0,0,6
1,0,6,3
0,1,3,16
7,3,1,1
3,2,4,3
2,0,9,2
0,0,4,0
5,6,9,8
2,4,5,6
0,0,0,7
4,0,9,4
0,11,1,13
0,1,4,6
2,0,2,3
2,3,13,9
4,2,9,14
4,2,10,16
0,1,15,4
0,2,2,14
3,0,14,0
0,0,3,11
0,0,19,1
4,3,10,17
0,6,2,14
1,3,3,4
