d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
0,0,3,0
0,1,9,3
5,0,0,3
1,0,1,0
3,0,3,0
0,7,1,3
5,0,14,1
0,4,0,5
2,1,0,0
0,0,0,0
0,0,3,0
0,0,3,1
4,1,8,0
5,3,1,2
0,0,2,0
0,1,1,0
2,6,4,0
2,4,0,1
5,11,1,2
0,0,1,0
1,3,1,0
0,1,1,1
6,8,0,5
3,28,1,0
2,7,5,1
5,1,1,0
19,37,1,1
7,60,5,4
0,1,2,1
5,4,0,0
6,0,1,1
20,0,20,1
25,12,3,1
10,16,6,1
24,2,3,13
4,0,10,15
1,0,0,0
1,0,4,2
0,0,4,0
1,0,2,22
0,2,0,6
0,0,0,0
1,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,1,2
0,4,0,13
0,8,1,1
3,2,0,2
3,7,3,2
2,4,3,6
0,0,0,6
1,0,0,1
2,8,1,4
0,0,3,0
