time_zone,start_date,start_time,lat,long,stay_duration,Is_Bus_stop,Is_Turn,Is_Signal,Is_Congestion,Is_Adhoc,estimated_stay_duration
Early_Morning,2019-07-06,07:03:53,23.56420962386364,87.28329939560601,132,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:07:17,23.56146449,87.2835584,2,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:08:06,23.55936313193548,87.28477081258063,31,1,1,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:09:08,23.55793244875,87.28550783125,8,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:09:23,23.55764975,87.28569347,1,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:09:54,23.55591612363636,87.28619980181819,11,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:10:13,23.555531183,87.28548506199999,10,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:10:35,23.555046892753623,87.28575942043479,69,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:11:52,23.55454169,87.28603063,1,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:12:05,23.55403536,87.28635807954547,22,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:12:40,23.553291525384616,87.28676912846156,13,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:13:09,23.552290043333333,87.28689373666667,6,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:13:42,23.551081079,87.28592102849998,40,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:14:41,23.550092718512403,87.28513894975212,121,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:17:10,23.548271246666665,87.28364598666667,6,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:17:37,23.54689243363637,87.28259136272727,11,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:18:19,23.54526668428572,87.2813100357143,7,1,1,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:18:35,23.54504986,87.2816846,1,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:19:05,23.544173294,87.28367351400001,5,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:19:24,23.54384102,87.2843420775,4,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:19:55,23.5429332175,87.28628674624998,8,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:20:35,23.54364351,87.28771951,1,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:20:52,23.54434817,87.288298795,2,1,1,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:20:58,23.54421592,87.28863068666665,3,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:21:26,23.543014140714284,87.29051111214287,14,0,1,0,0,0,30.41860465116279
Early_Morning,2019-07-06,07:22:06,23.541737571428573,87.289931485,14,1,0,1,0,0,35.38961038961039
Early_Morning,2019-07-06,07:23:17,23.53917412111112,87.29341626,9,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:23:51,23.538962870540537,87.29466236702703,37,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:24:55,23.53824784,87.29597951,1,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:25:13,23.53753071148148,87.29680101296297,27,1,1,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:26:14,23.535851781666665,87.29599299833335,6,0,0,1,0,0,13.933333333333334
Early_Morning,2019-07-06,07:26:33,23.535375444,87.29707946799999,5,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:26:50,23.535709564905662,87.29772345591198,159,1,0,0,0,0,35.38961038961039
Early_Morning,2019-07-06,07:29:45,23.535531750000004,87.29859434750001,4,0,1,0,0,0,30.41860465116279
Early_Morning,2019-07-06,07:30:15,23.53502095,87.29749259500001,10,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:30:46,23.53541209,87.29674722000001,4,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:31:08,23.535857225714285,87.29574749114286,35,0,1,1,0,0,30.41860465116279
Early_Morning,2019-07-06,07:34:35,23.52756132,87.31049959,1,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:34:51,23.52756511083334,87.3111942083333,36,0,1,0,0,0,30.41860465116279
Early_Morning,2019-07-06,07:37:03,23.526705433157897,87.31122999263157,19,0,0,1,1,0,13.933333333333334
Early_Morning,2019-07-06,07:40:56,23.510549788333336,87.31065390499998,6,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:43:02,23.50420154,87.308107935,4,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:43:41,23.5028825,87.30734913,1,0,1,0,0,0,30.41860465116279
Early_Morning,2019-07-06,07:44:11,23.50147245,87.30640826,1,0,0,0,0,1,23.5
Early_Morning,2019-07-06,07:44:25,23.50060643846154,87.30602452769232,13,0,0,0,0,1,23.5
