d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
2,0,66,0
0,0,0,11
2,0,2,1
4,3,12,1
1,0,7,0
1,0,2,0
8,2,34,9
0,2,1,36
1,1,1,3
1,0,7,1
0,0,1,4
0,1,1,13
2,0,3,0
4,1,7,7
0,3,1,9
3,3,0,15
2,15,7,35
9,2,6,10
5,0,7,0
2,15,4,24
1,3,5,22
6,0,1,6
9,3,7,7
3,0,11,0
2,0,1,4
6,15,8,21
2,2,0,15
3,20,1,30
29,47,8,11
11,34,3,23
26,21,41,20
0,17,7,9
14,1,9,14
2,0,13,46
1,1,4,6
0,0,36,1
0,2,0,181
0,1,3,4
0,0,6,1
0,0,4,26
0,3,8,48
0,0,0,71
0,1,4,36
0,1,1,40
1,10,0,45
1,0,2,0
1,3,0,12
0,0,0,25
0,4,4,40
4,1,6,1
2,0,6,1
