start_time,end_time,scores
08:38:00,08:38:18,2
08:38:59,08:39:25,-2
10:36:34,10:36:35,2
10:37:17,10:37:30,2
10:37:57,10:38:20,2
12:32:39,12:33:13,-2
12:33:30,12:33:35,-2
12:33:59,12:34:09,2
12:34:34,12:34:46,2
12:35:01,12:35:07,-2
18:35:49,18:36:13,-2
18:36:48,18:37:09,2
18:37:28,18:37:52,2
07:25:46,07:26:03,2
07:26:25,07:26:45,2
08:59:50,09:00:11,2
09:00:40,09:01:01,2
09:01:38,09:01:54,2
11:05:08,11:05:27,2
11:05:35,11:05:45,2
11:06:00,11:06:31,2
11:06:55,11:07:01,2
17:12:11,17:12:13,-2
17:12:29,17:12:32,-2
17:12:55,17:13:01,2
