Pair,t_test_stat,p_value,Day
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",-0.3818041697468804,0.7272774349875967,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",0.2347724648169382,0.8462797137929292,"('Monday', 'Tuesday')"
"(('09/14/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-0.2773500981126145,0.8087684441414504,"('Saturday', 'Friday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.17960530202677488,0.8687810883681631,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",-0.16116459280507603,0.8795250591201282,"('Saturday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.0,1.0,"('Monday', 'Friday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Afternoon'))",-0.2347724648169382,0.8462797137929292,"('Sunday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.1796053020267749,0.87849917745642,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",-0.08176655100601522,0.9367830141152568,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",-0.6324555320336758,0.6240740841393262,"('Sunday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.17960530202677488,0.8687810883681631,"('Monday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",-0.4020903464478932,0.7442008558225326,"('Sunday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Afternoon'))",1.0250127950915064,0.33503460129916324,"('Saturday', 'Sunday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Morning'))",-0.10482848367219182,0.930682953444163,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Evening'))",0.1796053020267749,0.87849917745642,"('Saturday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Evening'))",-0.04564086556067874,0.9698284296806746,"('Tuesday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-0.4020903464478932,0.7442008558225326,"('Sunday', 'Tuesday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.1796053020267749,0.87849917745642,"('Sunday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",-1.0,0.3847248494337026,"('Sunday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-0.5897678246195884,0.5943752362437446,"('Saturday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Evening'))",-0.5107617866989219,0.6436696934085606,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.1901172751573434,0.8758389121992955,"('Tuesday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.1901172751573434,0.8758389121992955,"('Sunday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.2948839123097942,0.7861702484584018,"('Monday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.0,1.0,"('Saturday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.7533708035008839,0.48506243856470865,"('Monday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",-0.6255432421712243,0.556696600079053,"('Sunday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Morning'))",0.0,1.0,"('Sunday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",0.1796053020267749,0.87849917745642,"('Saturday', 'Tuesday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",-0.10482848367219182,0.930682953444163,"('Friday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",-1.0,0.36321746764912255,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",0.2347724648169382,0.8462797137929292,"('Monday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-0.22941573387056174,0.8213170913673009,"('Friday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.5994946359929332,0.5579889121222592,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Evening'))",0.0,1.0,"('Monday', 'Friday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",1.147078669352809,0.2727004318339326,"('Tuesday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.0,1.0,"('Sunday', 'Friday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.2948839123097942,0.7861702484584018,"('Saturday', 'Monday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Evening'))",0.1796053020267749,0.87849917745642,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",-0.7875615306482167,0.4557335871870831,"('Saturday', 'Tuesday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.5289618668881999,0.6037251470351217,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.3375263702778072,0.7446050834845472,"('Saturday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.2244096972731255,0.8367202577199359,"('Monday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",-0.7071067811865475,0.5185185185185183,"('Saturday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-1.1671609169433799,0.26139146002186975,"('Tuesday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",-0.4472135954999579,0.6845876592523006,"('Monday', 'Tuesday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.0,1.0,"('Saturday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.1796053020267749,0.87849917745642,"('Friday', 'Saturday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",0.47519096331149147,0.7055128896365357,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Morning'))",0.5107617866989219,0.6436696934085606,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.27376352351878774,0.7880429246256478,"('Monday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",0.0,1.0,"('Friday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.1901172751573434,0.8758389121992955,"('Friday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.6446583712203042,0.5531393401498808,"('Saturday', 'Saturday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.0,1.0,"('Tuesday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.47519096331149147,0.7055128896365357,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/15/2019', 'Evening'))",-0.2773500981126145,0.8087684441414504,"('Saturday', 'Sunday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",0.2347724648169382,0.8462797137929292,"('Monday', 'Friday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",-0.10163353300838958,0.9202423518223235,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",0.0,1.0,"('Monday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",0.6324555320336758,0.6240740841393262,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",0.16116459280507603,0.8795250591201282,"('Monday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/17/2019', 'Morning'))",0.04564086556067874,0.9698284296806746,"('Sunday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-0.10957582335289491,0.9190726776396967,"('Monday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-1.0594008198445846,0.3080111319136704,"('Sunday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",0.4472135954999579,0.6845876592523006,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-0.2773500981126145,0.8087684441414504,"('Saturday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Evening'))",0.1796053020267749,0.87849917745642,"('Saturday', 'Sunday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-1.0250127950915064,0.33503460129916324,"('Sunday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.08176655100601522,0.9367830141152568,"('Monday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.3375263702778072,0.7446050834845472,"('Friday', 'Saturday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.7875615306482167,0.4557335871870831,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",-0.2773500981126145,0.8087684441414504,"('Saturday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-1.0,0.3847248494337026,"('Sunday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-0.4472135954999579,0.6842869965119366,"('Friday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Evening'))",-0.16116459280507603,0.8795250591201282,"('Saturday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.47519096331149147,0.7055128896365357,"('Friday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/23/2019', 'Morning'))",-0.10482848367219182,0.930682953444163,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-0.4020903464478932,0.7442008558225326,"('Sunday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",-0.7616080926886136,0.4596243817513874,"('Sunday', 'Tuesday')"
