Pair,t_test_stat,p_value,Day
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",,,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Evening'))",0.6326765446961731,0.6247394944319105,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Monday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Morning'))",,,"('Sunday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-1.0442883318429204,0.48538932766869586,"('Monday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",3.37437587748236,0.077723049420988,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",2.399447388722204,0.10300254172027948,"('Sunday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Afternoon'))",,,"('Sunday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/17/2019', 'Morning'))",-1.0,0.49999999999999956,"('Sunday', 'Tuesday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",1.9885543478828334,0.18506992847492834,"('Friday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",2.3516654748962558,0.10015423439091396,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",,,"('Saturday', 'Friday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",1.0410626937307985,0.3572106255144947,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",0.7723773216706131,0.4754139174840154,"('Saturday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",2.3516233458310882,0.10153620005376589,"('Sunday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",-0.059646064681924266,0.9601214367358837,"('Saturday', 'Tuesday')"
"(('09/15/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-2.7110884829964697,0.030151518770290694,"('Sunday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.4476348768421646,0.6870078789910762,"('Monday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",2.059829323193768,0.10291432266526614,"('Friday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",,,"('Monday', 'Tuesday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Morning'))",1.7247176230089254,0.18304350122891713,"('Saturday', 'Monday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",1.042687334364251,0.485879553323627,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",,,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",0.5744793272543216,0.6598732398698222,"('Tuesday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Evening'))",,,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",,,"('Tuesday', 'Friday')"
