zone,date,overall_score
station,2019-06-28,1.0
station,2019-06-30,-1.0
station,2019-07-01,-1.2114710375181579
station,2019-07-02,1.1931573033152931
station,2019-07-03,-0.45705218822599375
station,2019-07-04,-1.3416407864998738
station,2019-07-05,-0.6615604793465788
dvc_more,2019-06-28,-0.5773502691896258
dvc_more,2019-06-30,1.0
dvc_more,2019-07-01,-1.1849907281857264
dvc_more,2019-07-02,-0.7071067811865475
dvc_more,2019-07-03,0.39347147143542044
dvc_more,2019-07-04,-0.4472135954999579
dvc_more,2019-07-05,-1.0374327571140958
54ft_road,2019-06-28,1.0
54ft_road,2019-06-30,0.5773502691896258
54ft_road,2019-07-01,1.705805464853404
54ft_road,2019-07-02,2.3028580633985984
54ft_road,2019-07-03,2.1110426915110296
54ft_road,2019-07-04,0.24253562503633297
54ft_road,2019-07-05,3.1370276805486803
junction_mall,2019-06-28,1.0
junction_mall,2019-06-30,0.5773502691896258
junction_mall,2019-07-01,1.507556722888818
junction_mall,2019-07-02,0.5
junction_mall,2019-07-03,1.150620773443248
junction_mall,2019-07-04,1.414213562373095
junction_mall,2019-07-05,3.0
prantika_bus_stand,2019-06-28,0.0
prantika_bus_stand,2019-06-30,-1.0
prantika_bus_stand,2019-07-01,-2.376441616431621
prantika_bus_stand,2019-07-02,-2.719927640921926
prantika_bus_stand,2019-07-03,-2.429002833591467
prantika_bus_stand,2019-07-04,-0.4472135954999579
prantika_bus_stand,2019-07-05,-2.3545984837879343
54ft_test,2019-06-28,-0.3592290088884503
54ft_test,2019-06-30,0.6111140325577004
54ft_test,2019-07-01,-0.9401815771802676
54ft_test,2019-07-02,-0.5524737905205319
54ft_test,2019-07-03,-2.944435359671583
54ft_test,2019-07-04,-0.4256911831305541
54ft_test,2019-07-05,-1.875431899993093
