start_time,end_time,scores
08:41:43,08:41:45,-2.0
08:42:23,08:42:33,2.0
10:02:30,10:02:33,-2.0
10:02:43,10:02:46,-2.0
12:27:28,12:27:47,2.0
17:44:50,17:46:30,2.0
19:40:47,19:41:10,2.0
07:06:03,07:06:05,-2.0
07:06:16,07:06:33,-0.21321493331446215
07:06:58,07:06:59,-2.0
07:07:11,07:07:18,-2.0
07:07:32,07:07:32,-2.0
08:28:51,08:28:56,-2.0
08:29:05,08:29:11,-2.0
08:29:23,08:29:31,-2.0
08:29:52,08:29:58,-2.0
08:30:06,08:30:09,-2.0
10:10:00,10:10:17,2.0
10:47:13,10:48:01,-0.9785722573842854
10:48:47,10:48:47,-2.0
16:19:14,16:19:31,-2.0
18:06:06,18:06:10,-2.0
