Pair,t_test_stat,p_value,Day
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-0.417513051782308,0.7254065483327293,"('Tuesday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.5324300197816679,0.6834098718219348,"('Saturday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-0.1891318470328905,0.8562416346287,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",-0.17305391451226454,0.8809303140363702,"('Saturday', 'Tuesday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Morning'))",0.8881419326473946,0.4183572421277314,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",0.4689684095685549,0.7003413852680802,"('Saturday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",0.11486536541797479,0.9117928238392226,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-1.283236306540439,0.2526536274275218,"('Tuesday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-1.0,0.49999999999999956,"('Sunday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-1.0000000000000004,0.39100221895577053,"('Sunday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.04282711159612839,0.9713088423670446,"('Friday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.2880225666982121,0.7801627892806262,"('Monday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.09954431441322666,0.931977320203894,"('Saturday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-0.004506909349376832,0.9967437222412184,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",1.0,0.49999999999999956,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",-1.0,0.49999999999999956,"('Monday', 'Friday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.3847053677821804,0.7500589691725225,"('Monday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",-0.9999999999999999,0.373900966300059,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",1.7872907605028912,0.1977712491594088,"('Monday', 'Tuesday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",,,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",-3.0224675854049714,0.20341201242504225,"('Sunday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.32253996878166363,0.7816110758140045,"('Tuesday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",1.2256591619909434,0.292796302409674,"('Tuesday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.11691492280893426,0.9207616993994632,"('Friday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.905326777265323,0.4220140307455096,"('Friday', 'Saturday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.5535870587621831,0.62660285011923,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-2.363155876680921,0.077396077213738,"('Monday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",0.7238412221647424,0.5893688617889274,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",1.4088388708317754,0.30982568902626484,"('Monday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",-0.47218000800734156,0.6986879979208928,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-1.052655444633158,0.33557399826739737,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.2856451852605334,0.789060035136625,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",-1.7979428116459588,0.21400972315552017,"('Monday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Evening'))",-0.250753110042601,0.8278973483148904,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Morning'))",-1.0,0.49999999999999956,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",-1.0000000000000004,0.39100221895577053,"('Monday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Evening'))",-0.30720802087799565,0.7740149270684898,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Morning'))",1.30841885568074,0.24974663761212879,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Evening'))",0.8871573051004881,0.47875258798563514,"('Monday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.25883926117426836,0.8035986878480986,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",0.48928980399437233,0.6943582751894435,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-2.1939432017335863,0.07969965311895424,"('Monday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.1907426744293998,0.855765589595896,"('Monday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-1.7979428116459588,0.21400972315552017,"('Sunday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Afternoon'))",1.0,0.49999999999999956,"('Saturday', 'Sunday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.3861645696036332,0.7226395331107984,"('Saturday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.2186443392373533,0.8472584578192562,"('Friday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.2527208078531329,0.8237414221268512,"('Friday', 'Monday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",1.2860631932811968,0.23520639825275125,"('Saturday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-2.091850153881174,0.1275517391168569,"('Sunday', 'Tuesday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",-1.0,0.49999999999999956,"('Sunday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.24671339503186646,0.8305099202999647,"('Saturday', 'Friday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.8398061854631126,0.4460699753634722,"('Tuesday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.47374193577858115,0.6962050746754584,"('Friday', 'Monday')"
