Pair,t_test_stat,p_value,Day
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.18150525168823442,0.8746709604836025,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",-0.26160188517408245,0.8155383605367815,"('Sunday', 'Friday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.47275037570903655,0.662209485014106,"('Friday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.39587749242643105,0.7335640835419414,"('Saturday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Afternoon'))",0.0,1.0,"('Sunday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",1.2238975901615785,0.4157057434020846,"('Saturday', 'Tuesday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.20159402584364852,0.8486394193166868,"('Sunday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",,,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",0.1225386375556928,0.908278515226314,"('Monday', 'Tuesday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",0.5748027181397056,0.6318659538728991,"('Friday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.08304926647127331,0.9406716978438219,"('Friday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",0.23045047618684403,0.8292025336665402,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/15/2019', 'Evening'))",0.26413527189768715,0.8137534989963215,"('Saturday', 'Sunday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",-0.40318238097538056,0.7088775217512608,"('Monday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.14401925357074322,0.9003987394089957,"('Monday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",0.2301492668651801,0.8471447651800957,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",-0.2621703769831585,0.8205553048981481,"('Saturday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.524187471996316,0.6624385340277449,"('Friday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",0.26160188517408245,0.8165564630131672,"('Friday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-0.7801429108193983,0.490868810341538,"('Tuesday', 'Friday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Morning'))",0.40318238097538056,0.7035632107327356,"('Sunday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",-0.5475108296214918,0.6201948909928947,"('Tuesday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-0.309806473245056,0.7645921527400226,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",-0.5340084527607459,0.6383252954085229,"('Saturday', 'Friday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-1.5082446149519506,0.18444882204460167,"('Tuesday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",-1.202591771097727,0.3265631921501253,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-1.168241332664946,0.29679023429525087,"('Sunday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",0.0,1.0,"('Monday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.18529642184483178,0.8769502150308502,"('Monday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-0.14429320471011353,0.9002097197401417,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Evening'))",-0.35505652180043434,0.7501922144627976,"('Saturday', 'Sunday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Monday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",0.053010805938952896,0.9641780608810067,"('Saturday', 'Tuesday')"
