Pair,t_test_stat,p_value,Day
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",,,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",,,"('Monday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Sunday', 'Friday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",,,"('Saturday', 'Tuesday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Afternoon'))",1.0,0.39100221895577053,"('Saturday', 'Sunday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",,,"('Saturday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Morning'))",,,"('Friday', 'Saturday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",,,"('Tuesday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",,,"('Sunday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",1.0,0.42264973081037427,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",,,"('Monday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Monday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Morning'))",,,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Monday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Sunday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",,,"('Monday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Monday', 'Friday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Tuesday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Friday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Evening'))",,,"('Monday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",,,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",,,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",,,"('Saturday', 'Saturday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Morning'))",,,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",,,"('Saturday', 'Tuesday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Tuesday', 'Friday')"
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Tuesday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",,,"('Sunday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Friday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",,,"('Saturday', 'Tuesday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-1.0,0.39100221895577053,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.2,0.8511627527132342,"('Sunday', 'Tuesday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Tuesday', 'Monday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",1.0,0.39100221895577053,"('Saturday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",,,"('Tuesday', 'Friday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Friday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Tuesday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-1.0,0.42264973081037427,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.2,0.8511627527132342,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",,,"('Monday', 'Tuesday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",,,"('Friday', 'Saturday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",,,"('Monday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",,,"('Sunday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",,,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",,,"('Saturday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",,,"('Monday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",,,"('Monday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-1.0,0.39100221895577053,"('Sunday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Friday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",-1.0,0.42264973081037427,"('Tuesday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",,,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",1.0,0.39100221895577053,"('Saturday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",,,"('Friday', 'Saturday')"
