left_date,left_time_zone,left_zone,left_count,right_date,right_time_zone,right_zone,right_count,t_stat,p_value
*,Early_Morning,54ft_road,50,*,Morning,dvc_more,12,2.8289404959409894,0.012799057822587084
*,Early_Morning,54ft_road,50,*,Morning,junction_mall,27,1.1387104326960158,0.26071640720341394
*,Early_Morning,54ft_road,50,*,Morning,prantika_bus_stand,22,4.365433414718372,0.00010058690965402126
*,Early_Morning,54ft_road,50,*,Morning,station,14,1.7094313528889853,0.10439329261455213
*,Early_Morning,dvc_more,15,*,Morning,junction_mall,27,-1.1477470018247915,0.26010507128474336
*,Early_Morning,dvc_more,15,*,Morning,prantika_bus_stand,22,1.2547349497233868,0.21931682116405266
*,Early_Morning,dvc_more,15,*,Morning,station,14,-0.2891840849966917,0.7746918197183159
*,Early_Morning,junction_mall,18,*,Morning,prantika_bus_stand,22,4.089396718032218,0.0002171389259135042
*,Early_Morning,junction_mall,18,*,Morning,station,14,1.8674750828689448,0.0739883395628529
*,Early_Morning,prantika_bus_stand,29,*,Morning,station,14,-2.601720164108172,0.01782275900134929
*,Early_Morning,54ft_road,50,*,Afternoon,dvc_more,9,1.818153486405524,0.09992068577292837
*,Early_Morning,54ft_road,50,*,Afternoon,junction_mall,16,0.2393955905803247,0.8129023220498569
*,Early_Morning,54ft_road,50,*,Afternoon,prantika_bus_stand,13,4.643716365097335,0.0001615531794807982
*,Early_Morning,54ft_road,50,*,Afternoon,station,7,3.7822654182328797,0.005198566626202781
*,Early_Morning,dvc_more,15,*,Afternoon,junction_mall,16,-1.6248812290195072,0.11508925964373695
*,Early_Morning,dvc_more,15,*,Afternoon,prantika_bus_stand,13,1.625381453930986,0.11617141063469102
*,Early_Morning,dvc_more,15,*,Afternoon,station,7,1.4935989212110092,0.15661774326208747
*,Early_Morning,junction_mall,18,*,Afternoon,prantika_bus_stand,13,4.375666964517731,0.00016993897250534834
*,Early_Morning,junction_mall,18,*,Afternoon,station,7,3.74330462859394,0.003021935324744633
*,Early_Morning,prantika_bus_stand,29,*,Afternoon,station,7,-0.3309977494551769,0.7488715107108851
*,Early_Morning,54ft_road,50,*,Evening,dvc_more,7,2.562379222299131,0.036661975653248725
*,Early_Morning,54ft_road,50,*,Evening,junction_mall,13,1.0872856564432525,0.2929202999683705
*,Early_Morning,54ft_road,50,*,Evening,prantika_bus_stand,9,2.537923503489275,0.029625369961601294
*,Early_Morning,54ft_road,50,*,Evening,station,4,,
*,Early_Morning,dvc_more,15,*,Evening,junction_mall,13,-0.7052228119932049,0.4873363741216548
*,Early_Morning,dvc_more,15,*,Evening,prantika_bus_stand,9,0.7486357240371617,0.4651156854039621
*,Early_Morning,dvc_more,15,*,Evening,station,4,,
*,Early_Morning,junction_mall,18,*,Evening,prantika_bus_stand,9,2.6371472189745977,0.0206446203553975
*,Early_Morning,junction_mall,18,*,Evening,station,4,,
*,Early_Morning,prantika_bus_stand,29,*,Evening,station,4,,
*,Morning,54ft_road,57,*,Afternoon,dvc_more,9,0.9888478389845731,0.34568088209461323
*,Morning,54ft_road,57,*,Afternoon,junction_mall,16,-0.9425433333181076,0.35480361655219395
*,Morning,54ft_road,57,*,Afternoon,prantika_bus_stand,13,3.276853738247582,0.003469352253688689
*,Morning,54ft_road,57,*,Afternoon,station,7,2.7248875419469787,0.02410828876950629
*,Morning,dvc_more,12,*,Afternoon,junction_mall,16,-2.212193948867099,0.037244037866939285
*,Morning,dvc_more,12,*,Afternoon,prantika_bus_stand,13,0.7158888877013607,0.4820335273733025
*,Morning,dvc_more,12,*,Afternoon,station,7,0.7157028153104685,0.484763580319262
*,Morning,junction_mall,27,*,Afternoon,prantika_bus_stand,13,3.0795783177843714,0.004440006250260913
*,Morning,junction_mall,27,*,Afternoon,station,7,2.6676569223579167,0.02063834837440009
*,Morning,prantika_bus_stand,22,*,Afternoon,station,7,0.4832150643661366,0.6374516449316939
*,Morning,54ft_road,57,*,Evening,dvc_more,7,1.76135537551191,0.11885012757370128
*,Morning,54ft_road,57,*,Evening,junction_mall,13,0.0885547440081098,0.93046013759116
*,Morning,54ft_road,57,*,Evening,prantika_bus_stand,9,1.6593277825849495,0.12679790558358925
*,Morning,54ft_road,57,*,Evening,station,4,,
*,Morning,dvc_more,12,*,Evening,junction_mall,13,-1.3163335920925172,0.2010450413469844
*,Morning,dvc_more,12,*,Evening,prantika_bus_stand,9,0.10056022519576296,0.9210744984330796
*,Morning,dvc_more,12,*,Evening,station,4,,
*,Morning,junction_mall,27,*,Evening,prantika_bus_stand,9,1.7038677911504512,0.1118258033032132
*,Morning,junction_mall,27,*,Evening,station,4,,
*,Morning,prantika_bus_stand,22,*,Evening,station,4,,
*,Afternoon,54ft_road,32,*,Evening,dvc_more,7,1.5736269605052338,0.1506420632923643
*,Afternoon,54ft_road,32,*,Evening,junction_mall,13,-0.055816826138501835,0.9560008920915262
*,Afternoon,54ft_road,32,*,Evening,prantika_bus_stand,9,1.4535219093848977,0.1704564059886441
*,Afternoon,54ft_road,32,*,Evening,station,4,,
*,Afternoon,dvc_more,9,*,Evening,junction_mall,13,-0.7600114002565065,0.4577243670210316
*,Afternoon,dvc_more,9,*,Evening,prantika_bus_stand,9,0.4588314677411235,0.6525435140290011
*,Afternoon,dvc_more,9,*,Evening,station,4,,
*,Afternoon,junction_mall,16,*,Evening,prantika_bus_stand,9,2.0761369963434992,0.05527203731685566
*,Afternoon,junction_mall,16,*,Evening,station,4,,
*,Afternoon,prantika_bus_stand,13,*,Evening,station,4,,
