left_date,left_time_zone,left_zone,left_count,right_date,right_time_zone,right_zone,right_count,t_stat,p_value
*,Early_Morning,54ft_road,50,*,Early_Morning,dvc_more,15,2.249292215035065,0.03541587946357783
*,Early_Morning,54ft_road,50,*,Early_Morning,junction_mall,18,-0.5003295511100897,0.6203491900445708
*,Early_Morning,54ft_road,50,*,Early_Morning,prantika_bus_stand,29,7.5629908661641085,1.1698801107374568e-10
*,Early_Morning,54ft_road,50,*,Early_Morning,station,16,3.3716479324509523,0.002681460515662053
*,Early_Morning,dvc_more,15,*,Early_Morning,junction_mall,18,-2.3385980224681555,0.02686593551359188
*,Early_Morning,dvc_more,15,*,Early_Morning,prantika_bus_stand,29,2.441923348215619,0.02349715528397742
*,Early_Morning,dvc_more,15,*,Early_Morning,station,16,0.8547120475497203,0.39973370879307946
*,Early_Morning,junction_mall,18,*,Early_Morning,prantika_bus_stand,29,6.20889718172295,6.869116988609209e-07
*,Early_Morning,junction_mall,18,*,Early_Morning,station,16,3.321435876826795,0.002413101466681661
*,Early_Morning,prantika_bus_stand,29,*,Early_Morning,station,16,-1.3836479799484616,0.17987022084870435
*,Morning,54ft_road,57,*,Morning,dvc_more,12,1.7928650348117472,0.09209601429484636
*,Morning,54ft_road,57,*,Morning,junction_mall,27,-0.2551423466884284,0.799636641830926
*,Morning,54ft_road,57,*,Morning,prantika_bus_stand,22,2.9129156012424597,0.0058046514112972
*,Morning,54ft_road,57,*,Morning,station,14,0.6354259584752519,0.5325238959954093
*,Morning,dvc_more,12,*,Morning,junction_mall,27,-1.81426465606318,0.08398903796728859
*,Morning,dvc_more,12,*,Morning,prantika_bus_stand,22,0.3510757801321961,0.728979207795307
*,Morning,dvc_more,12,*,Morning,station,14,-0.9531363092419559,0.3502289570127928
*,Morning,junction_mall,27,*,Morning,prantika_bus_stand,22,2.7327835058519447,0.008881233161250755
*,Morning,junction_mall,27,*,Morning,station,14,0.7555494747223348,0.4567506516572332
*,Morning,prantika_bus_stand,22,*,Morning,station,14,-1.4912739109462534,0.147917640336842
*,Afternoon,54ft_road,32,*,Afternoon,dvc_more,9,0.8261861573487346,0.4246241983767912
*,Afternoon,54ft_road,32,*,Afternoon,junction_mall,16,-1.017983058706152,0.3161765980096763
*,Afternoon,54ft_road,32,*,Afternoon,prantika_bus_stand,13,2.7784326493886096,0.009485654764353884
*,Afternoon,54ft_road,32,*,Afternoon,station,7,2.400160960264595,0.034749899836956664
*,Afternoon,dvc_more,9,*,Afternoon,junction_mall,16,-1.4673189534085729,0.16361154660444913
*,Afternoon,dvc_more,9,*,Afternoon,prantika_bus_stand,13,1.0464649776486896,0.31375952460272605
*,Afternoon,dvc_more,9,*,Afternoon,station,7,1.0272197798081282,0.32188528650021664
*,Afternoon,junction_mall,16,*,Afternoon,prantika_bus_stand,13,3.401856938419083,0.0021031026953214358
*,Afternoon,junction_mall,16,*,Afternoon,station,7,3.0092222823327828,0.009374044257926551
*,Afternoon,prantika_bus_stand,13,*,Afternoon,station,7,0.09324411096265536,0.9271692167500886
*,Evening,54ft_road,25,*,Evening,dvc_more,7,1.8996422630696082,0.08836121028166312
*,Evening,54ft_road,25,*,Evening,junction_mall,13,0.3808124028388121,0.706818420694913
*,Evening,54ft_road,25,*,Evening,prantika_bus_stand,9,1.8060346502826885,0.09309883118415327
*,Evening,54ft_road,25,*,Evening,station,4,,
*,Evening,dvc_more,7,*,Evening,junction_mall,13,-1.4221363894199317,0.17885739058828387
*,Evening,dvc_more,7,*,Evening,prantika_bus_stand,9,-0.19156525704423027,0.8509982748710934
*,Evening,dvc_more,7,*,Evening,station,4,,
*,Evening,junction_mall,13,*,Evening,prantika_bus_stand,9,1.2941176470588236,0.21243455190576446
*,Evening,junction_mall,13,*,Evening,station,4,,
*,Evening,prantika_bus_stand,9,*,Evening,station,4,,
