Pair,t_test_stat,p_value,Day
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.0,1.0,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.1901172751573434,0.8758389121992955,"('Sunday', 'Friday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.0,1.0,"('Friday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.3657293559224355,0.7281847291656914,"('Saturday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Afternoon'))",-0.13245323570650436,0.9116282324446455,"('Sunday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-0.2773500981126145,0.8087684441414504,"('Saturday', 'Tuesday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",-0.10957582335289491,0.9190726776396967,"('Saturday', 'Tuesday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Morning'))",0.1796053020267749,0.87849917745642,"('Sunday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",-0.4472135954999579,0.6845876592523006,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",-1.0,0.36321746764912255,"('Monday', 'Tuesday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-0.7184212081070996,0.5238251494457452,"('Friday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.0,1.0,"('Friday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.2347724648169382,0.8462797137929292,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/15/2019', 'Evening'))",-0.2773500981126145,0.8087684441414504,"('Saturday', 'Sunday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.5897678246195884,0.5943752362437446,"('Monday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",0.0,1.0,"('Monday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.539905524799017,0.602911476403887,"('Monday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-0.24433888871261042,0.8203277424064439,"('Monday', 'Saturday')"
