Pair,t_test_stat,p_value,Day
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",,,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",-1.9904821274888758,0.1848048242075117,"('Sunday', 'Friday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.16258332622038874,0.8739036850465163,"('Friday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",,,"('Saturday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Afternoon'))",-1.0,0.49999999999999956,"('Sunday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-0.3531028693774178,0.7552846076293757,"('Saturday', 'Tuesday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",1.2325695370848984,0.3278450494259914,"('Saturday', 'Tuesday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Morning'))",-1.0,0.42264973081037427,"('Sunday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",-0.7230666887890541,0.5096666956177653,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",,,"('Monday', 'Tuesday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",0.2877978995108767,0.7901213732614802,"('Friday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.3968013231925438,0.713250871434857,"('Friday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.6629452791367666,0.5482957600867151,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/15/2019', 'Evening'))",1.566725840296944,0.25768678093069386,"('Saturday', 'Sunday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",-1.766081436779223,0.16006217380972396,"('Monday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.585205735980653,0.6069110016774696,"('Monday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-1.5041327488615484,0.2098608678648368,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",,,"('Saturday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-0.1755286924624356,0.8677536370640531,"('Friday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",1.5732377856014237,0.23394138800373118,"('Friday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-0.7922573405889026,0.45446495522610086,"('Tuesday', 'Friday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Morning'))",,,"('Sunday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",0.7222361994857214,0.5101241104436437,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",,,"('Saturday', 'Tuesday')"
