Pair,t_test_stat,p_value,Day
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",-0.5252257314388903,0.6385273593424629,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.0,1.0,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",0.2773500981126145,0.8087684441414504,"('Saturday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-2.6853109591793154,0.11520294237056057,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",-1.0,0.49999999999999956,"('Monday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.41522739926869984,0.69985265398565,"('Saturday', 'Friday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Evening'))",,,"('Monday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Morning'))",,,"('Friday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Friday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.4472135954999579,0.6781611923108809,"('Tuesday', 'Monday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",1.0,0.39100221895577053,"('Saturday', 'Tuesday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",1.4638501094228,0.1953357038050351,"('Tuesday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Morning'))",-1.0,0.49999999999999956,"('Tuesday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",,,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",,,"('Saturday', 'Saturday')"
