Pair,t_test_stat,p_value,Day
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.2,0.8511627527132342,"('Saturday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Friday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.2,0.8511627527132342,"('Saturday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",1.0,0.39100221895577053,"('Saturday', 'Tuesday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",1.0,0.49999999999999956,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",0.4472135954999579,0.7098433239407216,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",0.9999999999999999,0.3734797469866552,"('Monday', 'Tuesday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",,,"('Friday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.41522739926869984,0.69985265398565,"('Friday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",,,"('Friday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",-1.0,0.49999999999999956,"('Monday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.125,0.9077384370753656,"('Monday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",,,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",-0.125,0.9077384370753656,"('Saturday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Friday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-2.23606797749979,0.0755868184216124,"('Friday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Tuesday', 'Friday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",0.2773500981126145,0.8087684441414504,"('Saturday', 'Tuesday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-3.0,0.05766888562243731,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.4472135954999579,0.7098433239407216,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",0.0,1.0,"('Tuesday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-1.632993161855452,0.17780780835622126,"('Sunday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-1.5491933384829668,0.1723082967304001,"('Monday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",0.2773500981126145,0.8087684441414504,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.4472135954999579,0.7098433239407216,"('Monday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",0.9999999999999999,0.3734797469866552,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.2,0.8511627527132342,"('Monday', 'Monday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.2773500981126145,0.8087684441414504,"('Monday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Evening'))",,,"('Monday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.4472135954999579,0.7098433239407216,"('Monday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.2,0.8511627527132342,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Afternoon'))",0.16116459280507603,0.8795250591201282,"('Saturday', 'Sunday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Saturday', 'Monday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.2,0.8511627527132342,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",,,"('Saturday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",1.0,0.42264973081037427,"('Saturday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Friday', 'Monday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-1.0,0.39100221895577053,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.41522739926869984,0.69985265398565,"('Saturday', 'Friday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.9999999999999999,0.3734797469866552,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",,,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",1.0,0.42264973081037427,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",1.0,0.49999999999999956,"('Saturday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.2773500981126145,0.8087684441414504,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Evening'))",,,"('Tuesday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Sunday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.4472135954999579,0.7098433239407216,"('Tuesday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.0,1.0,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Evening'))",,,"('Saturday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",,,"('Sunday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.16116459280507603,0.8795250591201282,"('Sunday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Morning'))",,,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.0,1.0,"('Monday', 'Friday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.41522739926869984,0.69985265398565,"('Monday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",0.1796053020267749,0.87849917745642,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",-0.16116459280507603,0.8795250591201282,"('Sunday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.0,1.0,"('Tuesday', 'Friday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.7453559924999299,0.4802522754722338,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",0.4020903464478932,0.7442008558225326,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",-0.11496024978590215,0.9120921587728621,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Morning'))",-0.4472135954999579,0.7098433239407216,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Evening'))",0.2773500981126145,0.8087684441414504,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Morning'))",-1.0,0.49999999999999956,"('Tuesday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Monday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",0.1796053020267749,0.87849917745642,"('Sunday', 'Tuesday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",-0.4285714285714285,0.6814552801280139,"('Sunday', 'Tuesday')"
