Pair,t_test_stat,p_value,Day
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.266964579135933,0.7938104186191967,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",1.7427348664015416,0.1365923584515491,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Afternoon'))",-0.16743667685867977,0.8908423607123048,"('Sunday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/15/2019', 'Evening'))",0.6324555320336759,0.6248301115609278,"('Saturday', 'Sunday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",-2.5104222416259354,0.027632650564585533,"('Friday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.7573132688020875,0.4595691872654294,"('Sunday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",1.6346801479106352,0.13173260232288575,"('Friday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.08086320246390283,0.9368061243439003,"('Friday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.055817479610508376,0.9632941025184338,"('Sunday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.21908029613476165,0.8403479666755065,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Evening'))",0.23465392526447945,0.846465863514573,"('Saturday', 'Sunday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Evening'))",-0.77042119058154,0.45538416510210467,"('Monday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.5549853690308703,0.5867285324843727,"('Monday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",0.3033489882189108,0.7668726368937415,"('Saturday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-1.0335740773959812,0.3250040117244495,"('Monday', 'Friday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Evening'))",-1.4388863887833014,0.18079780516102337,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",0.7169582762503452,0.4836424750887848,"('Monday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.34480079550524795,0.7343229331209468,"('Tuesday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Evening'))",-1.2411574586775,0.24979934992579358,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",0.7295621023388328,0.4771980896267882,"('Saturday', 'Tuesday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.07913682854201938,0.947049469430861,"('Sunday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",1.0438992762707258,0.32712349399303947,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",0.25976695662947863,0.8208026120875276,"('Saturday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.6444705293024647,0.5297239525548597,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.568939602799477,0.582176085034199,"('Monday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.4236403542361783,0.7039411115493877,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",1.6407775666579443,0.16579220671154177,"('Saturday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.3390543393333558,0.7396668947108214,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",0.15722242146715104,0.8773559208590067,"('Saturday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-1.717016243765131,0.11337983065060768,"('Tuesday', 'Friday')"
"(('09/15/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.2828159639929076,0.8160121145239149,"('Sunday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",0.034448098874162704,0.9749540020879656,"('Sunday', 'Tuesday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Evening'))",-1.890459827045497,0.08809899921353509,"('Tuesday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",1.735020183157812,0.12216699335237771,"('Friday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",-2.6994867700748766,0.027893733398764706,"('Monday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",-2.257391835002856,0.0451974663642411,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Evening'))",-2.305393346374347,0.05119257998376012,"('Monday', 'Friday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Evening'))",0.12848420455756168,0.8993696589479567,"('Tuesday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.10374416606788774,0.919621517986864,"('Monday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Morning'))",0.21847932476397217,0.831417043901473,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-1.0548611409349953,0.3143135477174291,"('Monday', 'Monday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.2490082204965957,0.8064546569552238,"('Saturday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-0.21657466924509924,0.8309769373134438,"('Friday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-1.192778172578949,0.25682025043332823,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",0.4101237778132723,0.7104473768978551,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",0.3337619623405197,0.763512369180015,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.7965777372466724,0.436124814511168,"('Tuesday', 'Saturday')"
