Pair,t_test_stat,p_value,Day
"(('09/15/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.8916138612735591,0.4997985556841126,"('Sunday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Evening'))",1.9348179332702886,0.10088639689978515,"('Saturday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",0.6401217592538546,0.5785534177817903,"('Saturday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.695059478648305,0.5129643971653417,"('Tuesday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",2.6685099298058113,0.020480171385546517,"('Monday', 'Tuesday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",1.4193021013117735,0.19860042562699645,"('Sunday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Evening'))",1.8471669657260987,0.3154613539501766,"('Saturday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",-1.9575313240836942,0.1075293071536291,"('Monday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",2.0019387439348,0.07028067140887988,"('Monday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",0.4436728608374467,0.7133499008438243,"('Tuesday', 'Monday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.36199922711536014,0.724064120621164,"('Saturday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",-1.4099545863904062,0.20427307730467575,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",0.5366633834680762,0.6018320608458929,"('Sunday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",1.8285855187328413,0.1603004061385062,"('Monday', 'Monday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.09917323045825954,0.9235441415375325,"('Saturday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",-0.7784239911978713,0.46229242138909343,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",0.14937140070510024,0.8839646131025942,"('Monday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.9534544380727185,0.3701601129697466,"('Monday', 'Tuesday')"
