d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
10,0,108,0
0,5,4,49
0,0,7,15
0,0,5,51
3,1,34,47
1,5,6,31
3,1,7,4
1,2,5,20
0,5,9,80
1,0,0,7
0,1,4,75
1,0,9,46
0,1,5,4
1,1,33,34
0,0,7,2
0,0,14,0
0,1,4,8
1,0,9,22
0,1,9,20
0,0,5,1
1,5,1,29
1,13,12,90
4,16,9,62
12,1,63,4
3,31,11,25
25,38,17,35
0,29,1,39
5,2,54,17
8,2,13,11
6,18,7,28
2,2,8,5
0,1,5,26
0,1,8,1
0,1,6,9
3,1,6,7
2,0,10,12
9,5,6,19
8,7,7,36
4,0,16,10
4,2,11,33
2,2,10,8
3,0,21,4
0,2,5,7
2,0,21,3
0,0,10,1
1,0,22,8
0,1,9,5
2,1,20,18
0,1,18,8
11,4,16,39
1,11,20,33
1,0,6,3
