Market,lat,long
Durgapur City Park Market, 23.5400188375682, 87.29763000189823
Chandidas Market, 23.564890631675567, 87.3136875898265
Mandal Market, 23.562300650239433, 87.27852500206382
Durgapur Station Bazaar, 23.49536641596376, 87.3195538339086
Mondal Market Muchipara, 23.505129903147857, 87.35249773176137
Secondary Market, 23.580197799101512, 87.27922635914386
DDA Market, 23.53983972982394, 87.29751258059626
Zonal Market, 23.5276797669642, 87.34298330420926
Barman Market, 23.558201547941913, 87.27538673369004
Durgapur Sobji Bazer Complex, 23.49102377751991, 87.3192787924058
Mamra Bazar, 23.531442267088526, 87.32611073501019
Swapna Market, 23.527474345366766, 87.32943713209407
Desai Market, 23.563359820974846, 87.2791918162626
Kapoor Market, 23.562935717572646, 87.27967371789728
21st Street Chandidas Market, 23.56199048701897, 87.31223470486763
Kesh Market,23.46425901984628, 87.35034359854556
Vegetable market, 23.544533503940944, 87.28341251772632
Ashish Market Bus Stand, 23.580463622144848, 87.28748869569834
Junction Mall, 23.539335990642783, 87.29110053193233
Steel Market Benachity, 23.56563448273102, 87.28320078935428
