d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
21,0,183,0
0,1,0,1
1,3,7,3
1,5,0,0
1,1,6,0
0,0,6,2
1,1,0,2
1,0,10,0
5,2,5,8
8,5,15,0
0,7,2,10
0,1,0,8
0,1,4,7
0,0,23,3
2,3,1,1
1,1,22,7
1,0,9,0
1,0,17,30
0,0,0,0
0,0,5,0
0,0,3,3
1,1,1,29
3,4,0,13
1,19,1,28
7,0,25,0
14,0,17,1
8,15,0,3
13,3,55,0
5,18,1,5
31,2,18,19
2,34,33,5
3,6,14,1
0,2,0,0
0,0,0,0
5,0,3,1
0,0,7,1
0,0,4,3
1,2,0,5
0,4,1,0
0,1,6,0
1,1,0,0
12,0,13,0
2,0,7,0
4,3,4,8
2,9,2,10
1,2,0,0
2,0,3,0
1,0,2,6
1,0,2,1
1,0,2,0
0,0,0,2
0,0,21,0
2,1,8,5
0,5,1,6
2,1,2,1
0,7,6,10
2,2,2,4
2,2,10,2
0,1,0,0
3,0,6,0
3,0,20,155
