Pair,t_test_stat,p_value,Day
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.2244096972731255,0.8367202577199359,"('Monday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",-0.30714755841697555,0.7986686315608587,"('Sunday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",0.24433888871261042,0.8203277424064439,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Evening'))",0.0,1.0,"('Saturday', 'Sunday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-3.1622776601683795,0.01334906342601871,"('Friday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Evening'))",-1.7320508075688774,0.18169011381620923,"('Saturday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",0.0,1.0,"('Saturday', 'Tuesday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Friday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.1643989873053573,0.875440735062196,"('Saturday', 'Friday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",,,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.7670307634702644,0.49419938109721645,"('Saturday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.9660917830792959,0.3503914791072017,"('Monday', 'Tuesday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Afternoon'))",-0.2347724648169382,0.8462797137929292,"('Sunday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",0.16116459280507603,0.8795250591201282,"('Monday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",,,"('Friday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",-0.4662524041201569,0.6574155582922379,"('Saturday', 'Tuesday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.16116459280507603,0.8795250591201282,"('Saturday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Sunday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.10482848367219182,0.930682953444163,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",0.24433888871261042,0.8203277424064439,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",-0.3657293559224355,0.7281847291656914,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.20272121351984576,0.8461122876195933,"('Saturday', 'Saturday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-1.5811388300841898,0.17468781426411925,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Evening'))",0.2773500981126145,0.8087684441414504,"('Monday', 'Tuesday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.47519096331149147,0.7055128896365357,"('Sunday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/15/2019', 'Evening'))",0.2773500981126145,0.8087684441414504,"('Saturday', 'Sunday')"
"(('09/16/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.5897678246195884,0.5943752362437446,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",-0.3779644730092272,0.7227877080390916,"('Saturday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.47519096331149147,0.7055128896365357,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",0.0,1.0,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Monday', 'Friday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.13245323570650436,0.9116282324446455,"('Sunday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",-0.5259630901748111,0.6310817145140377,"('Sunday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Tuesday', 'Friday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.20628424925175862,0.841468163213432,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.7206339602884603,0.4842817580782576,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",0.2773500981126145,0.8087684441414504,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.3362119798536529,0.7421615530427873,"('Sunday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-2.0493901531919194,0.07960201245519757,"('Monday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.27376352351878774,0.7880429246256478,"('Friday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.7670307634702644,0.49419938109721645,"('Monday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Morning'))",,,"('Friday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.1796053020267749,0.87849917745642,"('Sunday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",0.2347724648169382,0.8462797137929292,"('Monday', 'Tuesday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.7206339602884603,0.4842817580782576,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",0.0,1.0,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.2347724648169382,0.8462797137929292,"('Sunday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Tuesday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Friday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.2244096972731255,0.8367202577199359,"('Monday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-0.06672538816584905,0.9554943064899525,"('Sunday', 'Tuesday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Morning'))",3.415650255319866,0.011201432554090134,"('Saturday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.3362119798536529,0.7421615530427873,"('Sunday', 'Tuesday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-2.7855093491528238,0.031765165287792836,"('Sunday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.51604684654214,0.6196067420001108,"('Friday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",-0.27376352351878774,0.7880429246256478,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/14/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",1.5275252316519468,0.17047066078705375,"('Saturday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",-0.5259630901748111,0.6310817145140377,"('Sunday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Tuesday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Afternoon'))",0.10304986117093351,0.921456469868433,"('Saturday', 'Sunday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.2347724648169382,0.8462797137929292,"('Tuesday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-0.43587162019799486,0.6739933092433843,"('Sunday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",0.0,1.0,"('Saturday', 'Monday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.5091750772173155,0.6252416488574839,"('Saturday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Morning'))",-0.1796053020267749,0.87849917745642,"('Tuesday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Morning'))",-0.2773500981126145,0.8087684441414504,"('Sunday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.08176655100601522,0.9367830141152568,"('Monday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Tuesday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",1.0448259961303068,0.3186460682549449,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.5897678246195884,0.5943752362437446,"('Monday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.13245323570650436,0.9116282324446455,"('Tuesday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Morning'))",0.7670307634702644,0.49419938109721645,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Evening'))",-3.415650255319866,0.011201432554090134,"('Tuesday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Evening'))",-1.0,0.42264973081037427,"('Monday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.7670307634702644,0.49419938109721645,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",0.9660917830792959,0.3503914791072017,"('Monday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-1.0,0.42264973081037427,"('Saturday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",0.0,1.0,"('Monday', 'Tuesday')"
"(('09/15/2019', 'Evening'), ('09/17/2019', 'Morning'))",0.2347724648169382,0.8462797137929292,"('Sunday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",-0.7533708035008839,0.48506243856470865,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.10482848367219182,0.930682953444163,"('Sunday', 'Friday')"
