Pair,t_test_stat,p_value,Day
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.23267396243164534,0.8252685193067848,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-1.2912686396893787,0.24412380076631032,"('Monday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-1.0,0.49999999999999956,"('Monday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Evening'))",,,"('Monday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-0.9999999999999999,0.373900966300059,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",,,"('Sunday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Friday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",1.7460757394239457,0.12990504684307577,"('Saturday', 'Friday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",-2.23606797749979,0.0755868184216124,"('Friday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",0.9999999999999998,0.42264973081037427,"('Saturday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",,,"('Saturday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",0.5570860145311555,0.6562640283260454,"('Sunday', 'Monday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",1.0,0.39100221895577053,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",-1.0,0.49999999999999956,"('Monday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",,,"('Friday', 'Saturday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-0.30746554870799425,0.7734791352982664,"('Monday', 'Tuesday')"
"(('09/21/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Saturday', 'Monday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",,,"('Saturday', 'Monday')"
