Pair,t_test_stat,p_value,Day
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.8491402241688693,0.5472813918323576,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Monday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",-2.4869456174285443,0.0677054479716569,"('Monday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",1.0999491599449787,0.29991495752285974,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",,,"('Monday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",1.0,0.49999999999999956,"('Saturday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.9999999999999994,0.37390096630005903,"('Monday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",0.2015861023977244,0.8526211984736728,"('Tuesday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Evening'))",,,"('Monday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Afternoon'))",0.4472135954999579,0.7098433239407216,"('Saturday', 'Sunday')"
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.09956245054548536,0.9247231934596927,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Morning'))",-0.9999999999999998,0.42264973081037427,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",1.7621447994377786,0.12142146404520328,"('Monday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",-0.2134111184726717,0.844594373481335,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",,,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",-1.9231432474001313,0.10281705484475855,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-1.4876749279664785,0.1969966269387984,"('Monday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Evening'))",0.9999999999999998,0.42264973081037427,"('Tuesday', 'Friday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-1.4876749279664785,0.1969966269387984,"('Friday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Afternoon'))",0.6359619630861414,0.633790738701743,"('Saturday', 'Tuesday')"
"(('09/21/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",1.4876749279664785,0.1969966269387984,"('Saturday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-0.9068860990263711,0.3959679114319176,"('Tuesday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",1.0,0.39100221895577053,"('Sunday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",0.2773500981126145,0.8087684441414504,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",,,"('Monday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",1.0,0.39100221895577053,"('Sunday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Morning'))",0.7323132698964769,0.5329390567796751,"('Tuesday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Evening'))",1.0,0.49999999999999956,"('Saturday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",1.1114743818646724,0.2952039369733089,"('Monday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.9999999999999994,0.37390096630005903,"('Friday', 'Monday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Morning'))",,,"('Friday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",1.9231432474001313,0.10281705484475855,"('Tuesday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.6387184149631195,0.5611908982772458,"('Sunday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",1.787193353307548,0.12831227562790073,"('Friday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.16551338419602565,0.8915410512385711,"('Saturday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-0.2,0.8511627527132342,"('Sunday', 'Tuesday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Morning'))",1.0,0.42264973081037427,"('Tuesday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.11116220789832405,0.916055101318525,"('Tuesday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Evening'))",1.0,0.39100221895577053,"('Sunday', 'Monday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",1.9231432474001313,0.10281705484475855,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",1.7621447994377786,0.12142146404520328,"('Monday', 'Friday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Morning'))",-1.0000000000000002,0.42264973081037416,"('Friday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",0.4580822417146095,0.71375028658376,"('Saturday', 'Saturday')"
"(('09/20/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",2.4869456174285443,0.0677054479716569,"('Friday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",,,"('Monday', 'Saturday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",-1.7738950557202693,0.13030671845335828,"('Tuesday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",,,"('Sunday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Evening'))",,,"('Monday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",-1.0000000000000002,0.42264973081037416,"('Monday', 'Saturday')"
"(('09/17/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.7694576819007368,0.4679785709745433,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",0.7692134041771193,0.5162391541403892,"('Tuesday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",-0.14010448895152808,0.8975115154101376,"('Monday', 'Tuesday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",0.4161798939477585,0.7389111731845768,"('Saturday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/17/2019', 'Morning'))",0.6324555320336759,0.5646561751368624,"('Sunday', 'Tuesday')"
