Pair,t_test_stat,p_value,Day
"(('09/21/2019', 'Morning'), ('09/23/2019', 'Evening'))",-0.6669787440307496,0.5074649881801483,"('Saturday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",0.4295613532423386,0.6691548995638312,"('Sunday', 'Tuesday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Evening'))",-0.6042395127758584,0.5473123543372058,"('Tuesday', 'Friday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Morning'))",0.9025789083274505,0.3687992571523827,"('Monday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",1.2284656519291621,0.22284524053164267,"('Saturday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/23/2019', 'Morning'))",0.5939165672570511,0.5538113607993769,"('Monday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Evening'))",-1.143645078915738,0.25541660528009474,"('Tuesday', 'Saturday')"
"(('09/17/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.6696187492766341,0.5046276842915285,"('Tuesday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/23/2019', 'Afternoon'))",0.3682896352956087,0.7135782511276967,"('Monday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/17/2019', 'Evening'))",1.2837416146847445,0.2023644192261706,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",1.0179721537693984,0.31146752808950917,"('Monday', 'Friday')"
"(('09/16/2019', 'Afternoon'), ('09/20/2019', 'Evening'))",0.23077579440391827,0.8181609843095704,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/23/2019', 'Evening'))",-0.30748294778074914,0.759570901783088,"('Saturday', 'Monday')"
"(('09/17/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",-1.0665146442144677,0.28777071623842965,"('Tuesday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/15/2019', 'Evening'))",0.05315089388419751,0.9577563085499992,"('Saturday', 'Sunday')"
"(('09/16/2019', 'Evening'), ('09/17/2019', 'Afternoon'))",1.1104756072127828,0.269656469870937,"('Monday', 'Tuesday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-0.4710328761745409,0.6384414542667396,"('Tuesday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Morning'))",0.3224475925196448,0.7480473308367483,"('Sunday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Evening'))",0.5055449167602015,0.6144013237248148,"('Saturday', 'Friday')"
"(('09/17/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",-0.4583205278279195,0.6477177916895092,"('Tuesday', 'Friday')"
"(('09/15/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-0.09150310753232815,0.9272897035285537,"('Sunday', 'Saturday')"
"(('09/15/2019', 'Afternoon'), ('09/16/2019', 'Morning'))",-0.8692754178615949,0.3871783991077339,"('Sunday', 'Monday')"
"(('09/16/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",0.42719830787920376,0.6702514734024663,"('Monday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.1318659293745021,0.8953256061136812,"('Monday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.9552254610620028,0.34255477179388605,"('Friday', 'Monday')"
"(('09/20/2019', 'Afternoon'), ('09/21/2019', 'Morning'))",0.17662074740016628,0.8600980758419963,"('Friday', 'Saturday')"
"(('09/16/2019', 'Evening'), ('09/20/2019', 'Afternoon'))",0.8340190509959926,0.40628444409949216,"('Monday', 'Friday')"
"(('09/14/2019', 'Morning'), ('09/20/2019', 'Afternoon'))",0.31545180772014164,0.7529643381280344,"('Saturday', 'Friday')"
"(('09/17/2019', 'Morning'), ('09/23/2019', 'Evening'))",-1.2978890831184715,0.2002087738005483,"('Tuesday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",0.019985013925807135,0.9841208132393656,"('Sunday', 'Saturday')"
"(('09/14/2019', 'Afternoon'), ('09/17/2019', 'Evening'))",1.8301917877713427,0.07095704680260108,"('Saturday', 'Tuesday')"
"(('09/16/2019', 'Afternoon'), ('09/21/2019', 'Evening'))",-0.32558374313675736,0.745507206248019,"('Monday', 'Saturday')"
"(('09/16/2019', 'Morning'), ('09/20/2019', 'Evening'))",1.1007300484694238,0.2740588030626775,"('Monday', 'Friday')"
"(('09/17/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",-1.2998594146939384,0.19550924285341936,"('Tuesday', 'Saturday')"
"(('09/15/2019', 'Evening'), ('09/16/2019', 'Afternoon'))",0.2534717405889549,0.8008651123642759,"('Sunday', 'Monday')"
"(('09/15/2019', 'Afternoon'), ('09/23/2019', 'Morning'))",-0.006140182473671699,0.9951106216103571,"('Sunday', 'Monday')"
"(('09/16/2019', 'Morning'), ('09/21/2019', 'Afternoon'))",0.8094842040783575,0.4203783956534154,"('Monday', 'Saturday')"
"(('09/14/2019', 'Morning'), ('09/16/2019', 'Afternoon'))",0.3820465555464889,0.7031598449826189,"('Saturday', 'Monday')"
"(('09/16/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",0.6176855896668355,0.538187901136848,"('Monday', 'Saturday')"
"(('09/20/2019', 'Evening'), ('09/21/2019', 'Afternoon'))",-0.4721821619728951,0.6380903367247555,"('Friday', 'Saturday')"
"(('09/17/2019', 'Afternoon'), ('09/23/2019', 'Evening'))",-0.7976489749239137,0.42934097646911196,"('Tuesday', 'Monday')"
"(('09/15/2019', 'Evening'), ('09/23/2019', 'Afternoon'))",-0.397265927899877,0.6926545311451557,"('Sunday', 'Monday')"
"(('09/17/2019', 'Evening'), ('09/23/2019', 'Morning'))",-0.5793051789128453,0.5635903619515089,"('Tuesday', 'Monday')"
"(('09/14/2019', 'Morning'), ('09/17/2019', 'Evening'))",0.681784518678607,0.49685865206442903,"('Saturday', 'Tuesday')"
