,Is_Bus_stop,Is_Turn,Is_Signal,Is_Congestion,Is_Adhoc
coef_f1,0.0013,0.0015,-0.0112,0.0043,0.0013
coef_f2,-0.0109,-0.0043,-0.01,0.0112,0.0011
coef_f3,-0.0183,-0.0051,-0.0252,0.0147,0.0054
coef_f4,-0.003,0.0112,-0.0197,0.0144,-0.0088
coef_f5,-0.0484,-0.0015,0.0096,-0.0668,0.0321
coef_f6,0.0529,-0.0163,0.0513,-0.0474,0.0012
coef_f7,0.0609,0.0086,0.068,0.0508,-0.1517
coef_f8,0.1261,0.1453,1.116,0.0803,-0.0662
coef_f9,-0.0137,-0.0116,-0.0018,0.0623,-0.0553
coef_f10,0.5162,-0.209,-0.8386,-0.1327,0.0679
coef_f11,0.4042,0.0219,3.1561,-0.8394,0.1492
coef_f12,-0.1372,0.0382,0.2974,-0.1933,0.0293
coef_f13,0.281,0.419,-0.2648,0.167,-0.2948
bias,0.4914,0.0036,-0.655,-1.0562,0.298
