,BS1(s),BS2(s),BS3,BS4,BS5,BS6(s),BS7(s),BS8(s),BS9,BS10,BS11,BS12,BS13,BS14(s),BS15,BS16,BS17(s),BS18(s),BS19,BS20(s),BS21(s),BS22,BS23(s),BS24,BS25,BS26(s),BS27,BS28(s)
BS1(s),,0.55,-1.68,-1.58,-1.72,-0.93,2.07,4.7,4.18,4.27,4.22,4.1,2.2,2.58,2.95,2.52,1.78,1.78,1.65,2.22,2.73,1.82,2.23,2.32,2.1,2.45,1.92,2.05
BS2(s),,,-2.23,-2.13,-2.27,-1.48,1.52,4.15,3.63,3.72,3.67,3.55,1.65,2.03,2.4,1.97,1.23,1.23,1.1,1.67,2.18,1.27,1.68,1.77,1.55,1.9,1.37,1.5
BS3,,,,0.1,-0.03,0.75,3.75,6.38,5.87,5.95,5.9,5.78,3.88,4.27,4.63,4.2,3.47,3.47,3.33,3.9,4.42,3.5,3.92,4.0,3.78,4.13,3.6,3.73
BS4,,,,,-0.13,0.65,3.65,6.28,5.77,5.85,5.8,5.68,3.78,4.17,4.53,4.1,3.37,3.37,3.23,3.8,4.32,3.4,3.82,3.9,3.68,4.03,3.5,3.63
BS5,,,,,,0.78,3.78,6.42,5.9,5.98,5.93,5.82,3.92,4.3,4.67,4.23,3.5,3.5,3.37,3.93,4.45,3.53,3.95,4.03,3.82,4.17,3.63,3.77
BS6(s),,,,,,,3.0,5.63,5.12,5.2,5.15,5.03,3.13,3.52,3.88,3.45,2.72,2.72,2.58,3.15,3.67,2.75,3.17,3.25,3.03,3.38,2.85,2.98
BS7(s),,,,,,,,2.63,2.12,2.2,2.15,2.03,0.13,0.52,0.88,0.45,-0.28,-0.28,-0.42,0.15,0.67,-0.25,0.17,0.25,0.03,0.38,-0.15,-0.02
BS8(s),,,,,,,,,-0.52,-0.43,-0.48,-0.6,-2.5,-2.12,-1.75,-2.18,-2.92,-2.92,-3.05,-2.48,-1.97,-2.88,-2.47,-2.38,-2.6,-2.25,-2.78,-2.65
BS9,,,,,,,,,,0.08,0.03,-0.08,-1.98,-1.6,-1.23,-1.67,-2.4,-2.4,-2.53,-1.97,-1.45,-2.37,-1.95,-1.87,-2.08,-1.73,-2.27,-2.13
BS10,,,,,,,,,,,-0.05,-0.17,-2.07,-1.68,-1.32,-1.75,-2.48,-2.48,-2.62,-2.05,-1.53,-2.45,-2.03,-1.95,-2.17,-1.82,-2.35,-2.22
BS11,,,,,,,,,,,,-0.12,-2.02,-1.63,-1.27,-1.7,-2.43,-2.43,-2.57,-2.0,-1.48,-2.4,-1.98,-1.9,-2.12,-1.77,-2.3,-2.17
BS12,,,,,,,,,,,,,-1.9,-1.52,-1.15,-1.58,-2.32,-2.32,-2.45,-1.88,-1.37,-2.28,-1.87,-1.78,-2.0,-1.65,-2.18,-2.05
BS13,,,,,,,,,,,,,,0.38,0.75,0.32,-0.42,-0.42,-0.55,0.02,0.53,-0.38,0.03,0.12,-0.1,0.25,-0.28,-0.15
BS14(s),,,,,,,,,,,,,,,0.37,-0.07,-0.8,-0.8,-0.93,-0.37,0.15,-0.77,-0.35,-0.27,-0.48,-0.13,-0.67,-0.53
BS15,,,,,,,,,,,,,,,,-0.43,-1.17,-1.17,-1.3,-0.73,-0.22,-1.13,-0.72,-0.63,-0.85,-0.5,-1.03,-0.9
BS16,,,,,,,,,,,,,,,,,-0.73,-0.73,-0.87,-0.3,0.22,-0.7,-0.28,-0.2,-0.42,-0.07,-0.6,-0.47
BS17(s),,,,,,,,,,,,,,,,,,0.0,-0.13,0.43,0.95,0.03,0.45,0.53,0.32,0.67,0.13,0.27
BS18(s),,,,,,,,,,,,,,,,,,,-0.13,0.43,0.95,0.03,0.45,0.53,0.32,0.67,0.13,0.27
BS19,,,,,,,,,,,,,,,,,,,,0.57,1.08,0.17,0.58,0.67,0.45,0.8,0.27,0.4
BS20(s),,,,,,,,,,,,,,,,,,,,,0.52,-0.4,0.02,0.1,-0.12,0.23,-0.3,-0.17
BS21(s),,,,,,,,,,,,,,,,,,,,,,-0.92,-0.5,-0.42,-0.63,-0.28,-0.82,-0.68
BS22,,,,,,,,,,,,,,,,,,,,,,,0.42,0.5,0.28,0.63,0.1,0.23
BS23(s),,,,,,,,,,,,,,,,,,,,,,,,0.08,-0.13,0.22,-0.32,-0.18
BS24,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,0.13,-0.4,-0.27
BS25,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,-0.18,-0.05
BS26(s),,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,-0.4
BS27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
BS28(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,
