,BS1(s),BS2(s),BS3(s),BS4,BS5,BS6(s),BS7(s),BS8(s),BS9,BS10(s),BS11,BS12,BS13,BS14(s),BS15,BS16,BS17(s),BS18,BS19(s),BS20,BS21(s),BS22,BS23,BS24,BS25,BS26,BS27(s),BS28(s)
BS1(s),,0.45,2.47,2.58,2.15,2.27,3.65,5.13,5.2,6.15,6.6,6.6,5.8,5.72,6.03,5.23,4.8,3.22,3.32,3.23,3.5,3.35,3.4,3.18,2.33,2.2,2.17,2.03
BS2(s),,,2.02,2.13,1.7,1.82,3.2,4.68,4.75,5.7,6.15,6.15,5.35,5.27,5.58,4.78,4.35,2.77,2.87,2.78,3.05,2.9,2.95,2.73,1.88,1.75,1.72,1.58
BS3(s),,,,0.12,-0.32,-0.2,1.18,2.67,2.73,3.68,4.13,4.13,3.33,3.25,3.57,2.77,2.33,0.75,0.85,0.77,1.03,0.88,0.93,0.72,-0.13,-0.27,-0.3,-0.43
BS4,,,,,-0.43,-0.32,1.07,2.55,2.62,3.57,4.02,4.02,3.22,3.13,3.45,2.65,2.22,0.63,0.73,0.65,0.92,0.77,0.82,0.6,-0.25,-0.38,-0.42,-0.55
BS5,,,,,,0.12,1.5,2.98,3.05,4.0,4.45,4.45,3.65,3.57,3.88,3.08,2.65,1.07,1.17,1.08,1.35,1.2,1.25,1.03,0.18,0.05,0.02,-0.12
BS6(s),,,,,,,1.38,2.87,2.93,3.88,4.33,4.33,3.53,3.45,3.77,2.97,2.53,0.95,1.05,0.97,1.23,1.08,1.13,0.92,0.07,-0.07,-0.1,-0.23
BS7(s),,,,,,,,1.48,1.55,2.5,2.95,2.95,2.15,2.07,2.38,1.58,1.15,-0.43,-0.33,-0.42,-0.15,-0.3,-0.25,-0.47,-1.32,-1.45,-1.48,-1.62
BS8(s),,,,,,,,,0.07,1.02,1.47,1.47,0.67,0.58,0.9,0.1,-0.33,-1.92,-1.82,-1.9,-1.63,-1.78,-1.73,-1.95,-2.8,-2.93,-2.97,-3.1
BS9,,,,,,,,,,0.95,1.4,1.4,0.6,0.52,0.83,0.03,-0.4,-1.98,-1.88,-1.97,-1.7,-1.85,-1.8,-2.02,-2.87,-3.0,-3.03,-3.17
BS10(s),,,,,,,,,,,0.45,0.45,-0.35,-0.43,-0.12,-0.92,-1.35,-2.93,-2.83,-2.92,-2.65,-2.8,-2.75,-2.97,-3.82,-3.95,-3.98,-4.12
BS11,,,,,,,,,,,,0.0,-0.8,-0.88,-0.57,-1.37,-1.8,-3.38,-3.28,-3.37,-3.1,-3.25,-3.2,-3.42,-4.27,-4.4,-4.43,-4.57
BS12,,,,,,,,,,,,,-0.8,-0.88,-0.57,-1.37,-1.8,-3.38,-3.28,-3.37,-3.1,-3.25,-3.2,-3.42,-4.27,-4.4,-4.43,-4.57
BS13,,,,,,,,,,,,,,-0.08,0.23,-0.57,-1.0,-2.58,-2.48,-2.57,-2.3,-2.45,-2.4,-2.62,-3.47,-3.6,-3.63,-3.77
BS14(s),,,,,,,,,,,,,,,0.32,-0.48,-0.92,-2.5,-2.4,-2.48,-2.22,-2.37,-2.32,-2.53,-3.38,-3.52,-3.55,-3.68
BS15,,,,,,,,,,,,,,,,-0.8,-1.23,-2.82,-2.72,-2.8,-2.53,-2.68,-2.63,-2.85,-3.7,-3.83,-3.87,-4.0
BS16,,,,,,,,,,,,,,,,,-0.43,-2.02,-1.92,-2.0,-1.73,-1.88,-1.83,-2.05,-2.9,-3.03,-3.07,-3.2
BS17(s),,,,,,,,,,,,,,,,,,-1.58,-1.48,-1.57,-1.3,-1.45,-1.4,-1.62,-2.47,-2.6,-2.63,-2.77
BS18,,,,,,,,,,,,,,,,,,,0.1,0.02,0.28,0.13,0.18,-0.03,-0.88,-1.02,-1.05,-1.18
BS19(s),,,,,,,,,,,,,,,,,,,,-0.08,0.18,0.03,0.08,-0.13,-0.98,-1.12,-1.15,-1.28
BS20,,,,,,,,,,,,,,,,,,,,,0.27,0.12,0.17,-0.05,-0.9,-1.03,-1.07,-1.2
BS21(s),,,,,,,,,,,,,,,,,,,,,,-0.15,-0.1,-0.32,-1.17,-1.3,-1.33,-1.47
BS22,,,,,,,,,,,,,,,,,,,,,,,0.05,-0.17,-1.02,-1.15,-1.18,-1.32
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.22,-1.07,-1.2,-1.23,-1.37
BS24,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,-0.98,-1.02,-1.15
BS25,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,-0.17,-0.3
BS26,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.17
BS27(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13
BS28(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,
