,BS1(s),BS2(s),BS3,BS4(s),BS5,BS6,BS7(s),BS8(s),BS9,BS10(s),BS11,BS12(s),BS13,BS14,BS15,BS16,BS17(s),BS18,BS19,BS20,BS21(s),BS22(s),BS23,BS24,BS25(s),BS26,BS27(s),BS28(s)
BS1(s),,0.55,0.28,1.22,1.1,1.2,2.7,4.65,5.05,6.07,6.7,7.08,5.27,5.42,5.88,5.83,5.17,3.35,3.28,3.22,3.43,3.87,4.15,3.85,4.13,3.83,4.28,4.2
BS2(s),,,-0.27,0.67,0.55,0.65,2.15,4.1,4.5,5.52,6.15,6.53,4.72,4.87,5.33,5.28,4.62,2.8,2.73,2.67,2.88,3.32,3.6,3.3,3.58,3.28,3.73,3.65
BS3,,,,0.93,0.82,0.92,2.42,4.37,4.77,5.78,6.42,6.8,4.98,5.13,5.6,5.55,4.88,3.07,3.0,2.93,3.15,3.58,3.87,3.57,3.85,3.55,4.0,3.92
BS4(s),,,,,-0.12,-0.02,1.48,3.43,3.83,4.85,5.48,5.87,4.05,4.2,4.67,4.62,3.95,2.13,2.07,2.0,2.22,2.65,2.93,2.63,2.92,2.62,3.07,2.98
BS5,,,,,,0.1,1.6,3.55,3.95,4.97,5.6,5.98,4.17,4.32,4.78,4.73,4.07,2.25,2.18,2.12,2.33,2.77,3.05,2.75,3.03,2.73,3.18,3.1
BS6,,,,,,,1.5,3.45,3.85,4.87,5.5,5.88,4.07,4.22,4.68,4.63,3.97,2.15,2.08,2.02,2.23,2.67,2.95,2.65,2.93,2.63,3.08,3.0
BS7(s),,,,,,,,1.95,2.35,3.37,4.0,4.38,2.57,2.72,3.18,3.13,2.47,0.65,0.58,0.52,0.73,1.17,1.45,1.15,1.43,1.13,1.58,1.5
BS8(s),,,,,,,,,0.4,1.42,2.05,2.43,0.62,0.77,1.23,1.18,0.52,-1.3,-1.37,-1.43,-1.22,-0.78,-0.5,-0.8,-0.52,-0.82,-0.37,-0.45
BS9,,,,,,,,,,1.02,1.65,2.03,0.22,0.37,0.83,0.78,0.12,-1.7,-1.77,-1.83,-1.62,-1.18,-0.9,-1.2,-0.92,-1.22,-0.77,-0.85
BS10(s),,,,,,,,,,,0.63,1.02,-0.8,-0.65,-0.18,-0.23,-0.9,-2.72,-2.78,-2.85,-2.63,-2.2,-1.92,-2.22,-1.93,-2.23,-1.78,-1.87
BS11,,,,,,,,,,,,0.38,-1.43,-1.28,-0.82,-0.87,-1.53,-3.35,-3.42,-3.48,-3.27,-2.83,-2.55,-2.85,-2.57,-2.87,-2.42,-2.5
BS12(s),,,,,,,,,,,,,-1.82,-1.67,-1.2,-1.25,-1.92,-3.73,-3.8,-3.87,-3.65,-3.22,-2.93,-3.23,-2.95,-3.25,-2.8,-2.88
BS13,,,,,,,,,,,,,,0.15,0.62,0.57,-0.1,-1.92,-1.98,-2.05,-1.83,-1.4,-1.12,-1.42,-1.13,-1.43,-0.98,-1.07
BS14,,,,,,,,,,,,,,,0.47,0.42,-0.25,-2.07,-2.13,-2.2,-1.98,-1.55,-1.27,-1.57,-1.28,-1.58,-1.13,-1.22
BS15,,,,,,,,,,,,,,,,-0.05,-0.72,-2.53,-2.6,-2.67,-2.45,-2.02,-1.73,-2.03,-1.75,-2.05,-1.6,-1.68
BS16,,,,,,,,,,,,,,,,,-0.67,-2.48,-2.55,-2.62,-2.4,-1.97,-1.68,-1.98,-1.7,-2.0,-1.55,-1.63
BS17(s),,,,,,,,,,,,,,,,,,-1.82,-1.88,-1.95,-1.73,-1.3,-1.02,-1.32,-1.03,-1.33,-0.88,-0.97
BS18,,,,,,,,,,,,,,,,,,,-0.07,-0.13,0.08,0.52,0.8,0.5,0.78,0.48,0.93,0.85
BS19,,,,,,,,,,,,,,,,,,,,-0.07,0.15,0.58,0.87,0.57,0.85,0.55,1.0,0.92
BS20,,,,,,,,,,,,,,,,,,,,,0.22,0.65,0.93,0.63,0.92,0.62,1.07,0.98
BS21(s),,,,,,,,,,,,,,,,,,,,,,0.43,0.72,0.42,0.7,0.4,0.85,0.77
BS22(s),,,,,,,,,,,,,,,,,,,,,,,0.28,-0.02,0.27,-0.03,0.42,0.33
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.02,-0.32,0.13,0.05
BS24,,,,,,,,,,,,,,,,,,,,,,,,,0.28,-0.02,0.43,0.35
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,0.15,0.07
BS26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.37
BS27(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08
BS28(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,
