,BS1(s),BS2(s),BS3(s),BS4,BS5,BS6(s),BS7,BS8(s),BS9,BS10(s),BS11,BS12,BS13,BS14(s),BS15,BS16,BS17(s),BS18(s),BS19,BS20(s),BS21(s),BS22,BS23,BS24,BS25(s),BS26,BS27(s),BS28(s)
BS1(s),,0.42,2.68,2.63,2.8,3.17,3.73,4.75,5.05,5.67,6.07,5.4,4.42,4.2,4.43,4.3,3.38,3.07,3.0,3.33,3.68,3.47,3.17,2.87,2.88,2.83,2.57,1.78
BS2(s),,,2.27,2.22,2.38,2.75,3.32,4.33,4.63,5.25,5.65,4.98,4.0,3.78,4.02,3.88,2.97,2.65,2.58,2.92,3.27,3.05,2.75,2.45,2.47,2.42,2.15,1.37
BS3(s),,,,-0.05,0.12,0.48,1.05,2.07,2.37,2.98,3.38,2.72,1.73,1.52,1.75,1.62,0.7,0.38,0.32,0.65,1.0,0.78,0.48,0.18,0.2,0.15,-0.12,-0.9
BS4,,,,,0.17,0.53,1.1,2.12,2.42,3.03,3.43,2.77,1.78,1.57,1.8,1.67,0.75,0.43,0.37,0.7,1.05,0.83,0.53,0.23,0.25,0.2,-0.07,-0.85
BS5,,,,,,0.37,0.93,1.95,2.25,2.87,3.27,2.6,1.62,1.4,1.63,1.5,0.58,0.27,0.2,0.53,0.88,0.67,0.37,0.07,0.08,0.03,-0.23,-1.02
BS6(s),,,,,,,0.57,1.58,1.88,2.5,2.9,2.23,1.25,1.03,1.27,1.13,0.22,-0.1,-0.17,0.17,0.52,0.3,0.0,-0.3,-0.28,-0.33,-0.6,-1.38
BS7,,,,,,,,1.02,1.32,1.93,2.33,1.67,0.68,0.47,0.7,0.57,-0.35,-0.67,-0.73,-0.4,-0.05,-0.27,-0.57,-0.87,-0.85,-0.9,-1.17,-1.95
BS8(s),,,,,,,,,0.3,0.92,1.32,0.65,-0.33,-0.55,-0.32,-0.45,-1.37,-1.68,-1.75,-1.42,-1.07,-1.28,-1.58,-1.88,-1.87,-1.92,-2.18,-2.97
BS9,,,,,,,,,,0.62,1.02,0.35,-0.63,-0.85,-0.62,-0.75,-1.67,-1.98,-2.05,-1.72,-1.37,-1.58,-1.88,-2.18,-2.17,-2.22,-2.48,-3.27
BS10(s),,,,,,,,,,,0.4,-0.27,-1.25,-1.47,-1.23,-1.37,-2.28,-2.6,-2.67,-2.33,-1.98,-2.2,-2.5,-2.8,-2.78,-2.83,-3.1,-3.88
BS11,,,,,,,,,,,,-0.67,-1.65,-1.87,-1.63,-1.77,-2.68,-3.0,-3.07,-2.73,-2.38,-2.6,-2.9,-3.2,-3.18,-3.23,-3.5,-4.28
BS12,,,,,,,,,,,,,-0.98,-1.2,-0.97,-1.1,-2.02,-2.33,-2.4,-2.07,-1.72,-1.93,-2.23,-2.53,-2.52,-2.57,-2.83,-3.62
BS13,,,,,,,,,,,,,,-0.22,0.02,-0.12,-1.03,-1.35,-1.42,-1.08,-0.73,-0.95,-1.25,-1.55,-1.53,-1.58,-1.85,-2.63
BS14(s),,,,,,,,,,,,,,,0.23,0.1,-0.82,-1.13,-1.2,-0.87,-0.52,-0.73,-1.03,-1.33,-1.32,-1.37,-1.63,-2.42
BS15,,,,,,,,,,,,,,,,-0.13,-1.05,-1.37,-1.43,-1.1,-0.75,-0.97,-1.27,-1.57,-1.55,-1.6,-1.87,-2.65
BS16,,,,,,,,,,,,,,,,,-0.92,-1.23,-1.3,-0.97,-0.62,-0.83,-1.13,-1.43,-1.42,-1.47,-1.73,-2.52
BS17(s),,,,,,,,,,,,,,,,,,-0.32,-0.38,-0.05,0.3,0.08,-0.22,-0.52,-0.5,-0.55,-0.82,-1.6
BS18(s),,,,,,,,,,,,,,,,,,,-0.07,0.27,0.62,0.4,0.1,-0.2,-0.18,-0.23,-0.5,-1.28
BS19,,,,,,,,,,,,,,,,,,,,0.33,0.68,0.47,0.17,-0.13,-0.12,-0.17,-0.43,-1.22
BS20(s),,,,,,,,,,,,,,,,,,,,,0.35,0.13,-0.17,-0.47,-0.45,-0.5,-0.77,-1.55
BS21(s),,,,,,,,,,,,,,,,,,,,,,-0.22,-0.52,-0.82,-0.8,-0.85,-1.12,-1.9
BS22,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.6,-0.58,-0.63,-0.9,-1.68
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.28,-0.33,-0.6,-1.38
BS24,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-0.03,-0.3,-1.08
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.32,-1.1
BS26,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,-1.05
BS27(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78
BS28(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,
