,BS1(s),BS2(s),BS3,BS4,BS5,BS6(s),BS7(s),BS8(s),BS9(s),BS10(s),BS11,BS12,BS13,BS14(s),BS15,BS16,BS17,BS18(s),BS19(s),BS20(s),BS21(s),BS22(s),BS23,BS24,BS25,BS26(s),BS27(s),BS28(s)
BS1(s),,0.53,-1.17,-1.0,-1.32,-1.15,0.48,2.2,4.13,5.22,5.55,5.82,4.15,4.4,4.87,4.72,3.9,3.72,3.92,4.0,4.45,4.47,4.6,4.47,4.48,4.43,4.73,4.97
BS2(s),,,-1.7,-1.53,-1.85,-1.68,-0.05,1.67,3.6,4.68,5.02,5.28,3.62,3.87,4.33,4.18,3.37,3.18,3.38,3.47,3.92,3.93,4.07,3.93,3.95,3.9,4.2,4.43
BS3,,,,0.17,-0.15,0.02,1.65,3.37,5.3,6.38,6.72,6.98,5.32,5.57,6.03,5.88,5.07,4.88,5.08,5.17,5.62,5.63,5.77,5.63,5.65,5.6,5.9,6.13
BS4,,,,,-0.32,-0.15,1.48,3.2,5.13,6.22,6.55,6.82,5.15,5.4,5.87,5.72,4.9,4.72,4.92,5.0,5.45,5.47,5.6,5.47,5.48,5.43,5.73,5.97
BS5,,,,,,0.17,1.8,3.52,5.45,6.53,6.87,7.13,5.47,5.72,6.18,6.03,5.22,5.03,5.23,5.32,5.77,5.78,5.92,5.78,5.8,5.75,6.05,6.28
BS6(s),,,,,,,1.63,3.35,5.28,6.37,6.7,6.97,5.3,5.55,6.02,5.87,5.05,4.87,5.07,5.15,5.6,5.62,5.75,5.62,5.63,5.58,5.88,6.12
BS7(s),,,,,,,,1.72,3.65,4.73,5.07,5.33,3.67,3.92,4.38,4.23,3.42,3.23,3.43,3.52,3.97,3.98,4.12,3.98,4.0,3.95,4.25,4.48
BS8(s),,,,,,,,,1.93,3.02,3.35,3.62,1.95,2.2,2.67,2.52,1.7,1.52,1.72,1.8,2.25,2.27,2.4,2.27,2.28,2.23,2.53,2.77
BS9(s),,,,,,,,,,1.08,1.42,1.68,0.02,0.27,0.73,0.58,-0.23,-0.42,-0.22,-0.13,0.32,0.33,0.47,0.33,0.35,0.3,0.6,0.83
BS10(s),,,,,,,,,,,0.33,0.6,-1.07,-0.82,-0.35,-0.5,-1.32,-1.5,-1.3,-1.22,-0.77,-0.75,-0.62,-0.75,-0.73,-0.78,-0.48,-0.25
BS11,,,,,,,,,,,,0.27,-1.4,-1.15,-0.68,-0.83,-1.65,-1.83,-1.63,-1.55,-1.1,-1.08,-0.95,-1.08,-1.07,-1.12,-0.82,-0.58
BS12,,,,,,,,,,,,,-1.67,-1.42,-0.95,-1.1,-1.92,-2.1,-1.9,-1.82,-1.37,-1.35,-1.22,-1.35,-1.33,-1.38,-1.08,-0.85
BS13,,,,,,,,,,,,,,0.25,0.72,0.57,-0.25,-0.43,-0.23,-0.15,0.3,0.32,0.45,0.32,0.33,0.28,0.58,0.82
BS14(s),,,,,,,,,,,,,,,0.47,0.32,-0.5,-0.68,-0.48,-0.4,0.05,0.07,0.2,0.07,0.08,0.03,0.33,0.57
BS15,,,,,,,,,,,,,,,,-0.15,-0.97,-1.15,-0.95,-0.87,-0.42,-0.4,-0.27,-0.4,-0.38,-0.43,-0.13,0.1
BS16,,,,,,,,,,,,,,,,,-0.82,-1.0,-0.8,-0.72,-0.27,-0.25,-0.12,-0.25,-0.23,-0.28,0.02,0.25
BS17,,,,,,,,,,,,,,,,,,-0.18,0.02,0.1,0.55,0.57,0.7,0.57,0.58,0.53,0.83,1.07
BS18(s),,,,,,,,,,,,,,,,,,,0.2,0.28,0.73,0.75,0.88,0.75,0.77,0.72,1.02,1.25
BS19(s),,,,,,,,,,,,,,,,,,,,0.08,0.53,0.55,0.68,0.55,0.57,0.52,0.82,1.05
BS20(s),,,,,,,,,,,,,,,,,,,,,0.45,0.47,0.6,0.47,0.48,0.43,0.73,0.97
BS21(s),,,,,,,,,,,,,,,,,,,,,,0.02,0.15,0.02,0.03,-0.02,0.28,0.52
BS22(s),,,,,,,,,,,,,,,,,,,,,,,0.13,0.0,0.02,-0.03,0.27,0.5
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.13,-0.12,-0.17,0.13,0.37
BS24,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-0.03,0.27,0.5
BS25,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,0.25,0.48
BS26(s),,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.53
BS27(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
BS28(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,
