,BS1(s),BS2,BS3,BS4(s),BS5,BS6,BS7,BS8,BS9,BS10(s),BS11(s),BS12,BS13(s),BS14,BS15,BS16,BS17,BS18,BS19(s),BS20(s),BS21,BS22,BS23,BS24(s),BS25(s)
BS1(s),,0.42,0.3,0.82,0.98,1.18,1.45,1.57,1.12,1.47,2.6,2.92,3.57,4.12,4.48,4.47,4.17,-3.73,-2.87,-1.88,-1.9,-2.3,-2.82,-2.82,-2.7
BS2,,,-0.12,0.4,0.57,0.77,1.03,1.15,0.7,1.05,2.18,2.5,3.15,3.7,4.07,4.05,3.75,-4.15,-3.28,-2.3,-2.32,-2.72,-3.23,-3.23,-3.12
BS3,,,,0.52,0.68,0.88,1.15,1.27,0.82,1.17,2.3,2.62,3.27,3.82,4.18,4.17,3.87,-4.03,-3.17,-2.18,-2.2,-2.6,-3.12,-3.12,-3.0
BS4(s),,,,,0.17,0.37,0.63,0.75,0.3,0.65,1.78,2.1,2.75,3.3,3.67,3.65,3.35,-4.55,-3.68,-2.7,-2.72,-3.12,-3.63,-3.63,-3.52
BS5,,,,,,0.2,0.47,0.58,0.13,0.48,1.62,1.93,2.58,3.13,3.5,3.48,3.18,-4.72,-3.85,-2.87,-2.88,-3.28,-3.8,-3.8,-3.68
BS6,,,,,,,0.27,0.38,-0.07,0.28,1.42,1.73,2.38,2.93,3.3,3.28,2.98,-4.92,-4.05,-3.07,-3.08,-3.48,-4.0,-4.0,-3.88
BS7,,,,,,,,0.12,-0.33,0.02,1.15,1.47,2.12,2.67,3.03,3.02,2.72,-5.18,-4.32,-3.33,-3.35,-3.75,-4.27,-4.27,-4.15
BS8,,,,,,,,,-0.45,-0.1,1.03,1.35,2.0,2.55,2.92,2.9,2.6,-5.3,-4.43,-3.45,-3.47,-3.87,-4.38,-4.38,-4.27
BS9,,,,,,,,,,0.35,1.48,1.8,2.45,3.0,3.37,3.35,3.05,-4.85,-3.98,-3.0,-3.02,-3.42,-3.93,-3.93,-3.82
BS10(s),,,,,,,,,,,1.13,1.45,2.1,2.65,3.02,3.0,2.7,-5.2,-4.33,-3.35,-3.37,-3.77,-4.28,-4.28,-4.17
BS11(s),,,,,,,,,,,,0.32,0.97,1.52,1.88,1.87,1.57,-6.33,-5.47,-4.48,-4.5,-4.9,-5.42,-5.42,-5.3
BS12,,,,,,,,,,,,,0.65,1.2,1.57,1.55,1.25,-6.65,-5.78,-4.8,-4.82,-5.22,-5.73,-5.73,-5.62
BS13(s),,,,,,,,,,,,,,0.55,0.92,0.9,0.6,-7.3,-6.43,-5.45,-5.47,-5.87,-6.38,-6.38,-6.27
BS14,,,,,,,,,,,,,,,0.37,0.35,0.05,-7.85,-6.98,-6.0,-6.02,-6.42,-6.93,-6.93,-6.82
BS15,,,,,,,,,,,,,,,,-0.02,-0.32,-8.22,-7.35,-6.37,-6.38,-6.78,-7.3,-7.3,-7.18
BS16,,,,,,,,,,,,,,,,,-0.3,-8.2,-7.33,-6.35,-6.37,-6.77,-7.28,-7.28,-7.17
BS17,,,,,,,,,,,,,,,,,,-7.9,-7.03,-6.05,-6.07,-6.47,-6.98,-6.98,-6.87
BS18,,,,,,,,,,,,,,,,,,,0.87,1.85,1.83,1.43,0.92,0.92,1.03
BS19(s),,,,,,,,,,,,,,,,,,,,0.98,0.97,0.57,0.05,0.05,0.17
BS20(s),,,,,,,,,,,,,,,,,,,,,-0.02,-0.42,-0.93,-0.93,-0.82
BS21,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.92,-0.92,-0.8
BS22,,,,,,,,,,,,,,,,,,,,,,,-0.52,-0.52,-0.4
BS23,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.12
BS24(s),,,,,,,,,,,,,,,,,,,,,,,,,0.12
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,
