,BS1(s),BS2,BS3(s),BS4(s),BS5,BS6(s),BS7(s),BS8,BS9,BS10(s),BS11(s),BS12,BS13,BS14,BS15(s),BS16,BS17,BS18,BS19(s),BS20(s),BS21,BS22(s),BS23(s),BS24,BS25(s)
BS1(s),,0.57,-0.03,0.68,1.0,1.72,2.48,3.0,1.98,2.75,3.95,4.42,4.35,4.87,4.72,5.08,4.95,-5.82,-6.33,-5.88,-6.13,-6.08,-5.97,-7.18,-7.43
BS2,,,-0.6,0.12,0.43,1.15,1.92,2.43,1.42,2.18,3.38,3.85,3.78,4.3,4.15,4.52,4.38,-6.38,-6.9,-6.45,-6.7,-6.65,-6.53,-7.75,-8.0
BS3(s),,,,0.72,1.03,1.75,2.52,3.03,2.02,2.78,3.98,4.45,4.38,4.9,4.75,5.12,4.98,-5.78,-6.3,-5.85,-6.1,-6.05,-5.93,-7.15,-7.4
BS4(s),,,,,0.32,1.03,1.8,2.32,1.3,2.07,3.27,3.73,3.67,4.18,4.03,4.4,4.27,-6.5,-7.02,-6.57,-6.82,-6.77,-6.65,-7.87,-8.12
BS5,,,,,,0.72,1.48,2.0,0.98,1.75,2.95,3.42,3.35,3.87,3.72,4.08,3.95,-6.82,-7.33,-6.88,-7.13,-7.08,-6.97,-8.18,-8.43
BS6(s),,,,,,,0.77,1.28,0.27,1.03,2.23,2.7,2.63,3.15,3.0,3.37,3.23,-7.53,-8.05,-7.6,-7.85,-7.8,-7.68,-8.9,-9.15
BS7(s),,,,,,,,0.52,-0.5,0.27,1.47,1.93,1.87,2.38,2.23,2.6,2.47,-8.3,-8.82,-8.37,-8.62,-8.57,-8.45,-9.67,-9.92
BS8,,,,,,,,,-1.02,-0.25,0.95,1.42,1.35,1.87,1.72,2.08,1.95,-8.82,-9.33,-8.88,-9.13,-9.08,-8.97,-10.18,-10.43
BS9,,,,,,,,,,0.77,1.97,2.43,2.37,2.88,2.73,3.1,2.97,-7.8,-8.32,-7.87,-8.12,-8.07,-7.95,-9.17,-9.42
BS10(s),,,,,,,,,,,1.2,1.67,1.6,2.12,1.97,2.33,2.2,-8.57,-9.08,-8.63,-8.88,-8.83,-8.72,-9.93,-10.18
BS11(s),,,,,,,,,,,,0.47,0.4,0.92,0.77,1.13,1.0,-9.77,-10.28,-9.83,-10.08,-10.03,-9.92,-11.13,-11.38
BS12,,,,,,,,,,,,,-0.07,0.45,0.3,0.67,0.53,-10.23,-10.75,-10.3,-10.55,-10.5,-10.38,-11.6,-11.85
BS13,,,,,,,,,,,,,,0.52,0.37,0.73,0.6,-10.17,-10.68,-10.23,-10.48,-10.43,-10.32,-11.53,-11.78
BS14,,,,,,,,,,,,,,,-0.15,0.22,0.08,-10.68,-11.2,-10.75,-11.0,-10.95,-10.83,-12.05,-12.3
BS15(s),,,,,,,,,,,,,,,,0.37,0.23,-10.53,-11.05,-10.6,-10.85,-10.8,-10.68,-11.9,-12.15
BS16,,,,,,,,,,,,,,,,,-0.13,-10.9,-11.42,-10.97,-11.22,-11.17,-11.05,-12.27,-12.52
BS17,,,,,,,,,,,,,,,,,,-10.77,-11.28,-10.83,-11.08,-11.03,-10.92,-12.13,-12.38
BS18,,,,,,,,,,,,,,,,,,,-0.52,-0.07,-0.32,-0.27,-0.15,-1.37,-1.62
BS19(s),,,,,,,,,,,,,,,,,,,,0.45,0.2,0.25,0.37,-0.85,-1.1
BS20(s),,,,,,,,,,,,,,,,,,,,,-0.25,-0.2,-0.08,-1.3,-1.55
BS21,,,,,,,,,,,,,,,,,,,,,,0.05,0.17,-1.05,-1.3
BS22(s),,,,,,,,,,,,,,,,,,,,,,,0.12,-1.1,-1.35
BS23(s),,,,,,,,,,,,,,,,,,,,,,,,-1.22,-1.47
BS24,,,,,,,,,,,,,,,,,,,,,,,,,-0.25
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,
