,BS1(s),BS2,BS3,BS4(s),BS5,BS6,BS7,BS8(s),BS9,BS10(s),BS11(s),BS12(s),BS13,BS14(s),BS15,BS16,BS17,BS18(s),BS19(s),BS20(s),BS21,BS22,BS23,BS24(s),BS25(s)
BS1(s),,0.48,-1.18,-1.3,-1.05,-0.48,-0.17,0.43,0.9,1.35,2.15,2.62,2.97,3.88,4.32,3.88,4.1,-2.33,-1.83,-1.1,-1.33,-1.32,-1.68,-2.02,-2.03
BS2,,,-1.67,-1.78,-1.53,-0.97,-0.65,-0.05,0.42,0.87,1.67,2.13,2.48,3.4,3.83,3.4,3.62,-2.82,-2.32,-1.58,-1.82,-1.8,-2.17,-2.5,-2.52
BS3,,,,-0.12,0.13,0.7,1.02,1.62,2.08,2.53,3.33,3.8,4.15,5.07,5.5,5.07,5.28,-1.15,-0.65,0.08,-0.15,-0.13,-0.5,-0.83,-0.85
BS4(s),,,,,0.25,0.82,1.13,1.73,2.2,2.65,3.45,3.92,4.27,5.18,5.62,5.18,5.4,-1.03,-0.53,0.2,-0.03,-0.02,-0.38,-0.72,-0.73
BS5,,,,,,0.57,0.88,1.48,1.95,2.4,3.2,3.67,4.02,4.93,5.37,4.93,5.15,-1.28,-0.78,-0.05,-0.28,-0.27,-0.63,-0.97,-0.98
BS6,,,,,,,0.32,0.92,1.38,1.83,2.63,3.1,3.45,4.37,4.8,4.37,4.58,-1.85,-1.35,-0.62,-0.85,-0.83,-1.2,-1.53,-1.55
BS7,,,,,,,,0.6,1.07,1.52,2.32,2.78,3.13,4.05,4.48,4.05,4.27,-2.17,-1.67,-0.93,-1.17,-1.15,-1.52,-1.85,-1.87
BS8(s),,,,,,,,,0.47,0.92,1.72,2.18,2.53,3.45,3.88,3.45,3.67,-2.77,-2.27,-1.53,-1.77,-1.75,-2.12,-2.45,-2.47
BS9,,,,,,,,,,0.45,1.25,1.72,2.07,2.98,3.42,2.98,3.2,-3.23,-2.73,-2.0,-2.23,-2.22,-2.58,-2.92,-2.93
BS10(s),,,,,,,,,,,0.8,1.27,1.62,2.53,2.97,2.53,2.75,-3.68,-3.18,-2.45,-2.68,-2.67,-3.03,-3.37,-3.38
BS11(s),,,,,,,,,,,,0.47,0.82,1.73,2.17,1.73,1.95,-4.48,-3.98,-3.25,-3.48,-3.47,-3.83,-4.17,-4.18
BS12(s),,,,,,,,,,,,,0.35,1.27,1.7,1.27,1.48,-4.95,-4.45,-3.72,-3.95,-3.93,-4.3,-4.63,-4.65
BS13,,,,,,,,,,,,,,0.92,1.35,0.92,1.13,-5.3,-4.8,-4.07,-4.3,-4.28,-4.65,-4.98,-5.0
BS14(s),,,,,,,,,,,,,,,0.43,0.0,0.22,-6.22,-5.72,-4.98,-5.22,-5.2,-5.57,-5.9,-5.92
BS15,,,,,,,,,,,,,,,,-0.43,-0.22,-6.65,-6.15,-5.42,-5.65,-5.63,-6.0,-6.33,-6.35
BS16,,,,,,,,,,,,,,,,,0.22,-6.22,-5.72,-4.98,-5.22,-5.2,-5.57,-5.9,-5.92
BS17,,,,,,,,,,,,,,,,,,-6.43,-5.93,-5.2,-5.43,-5.42,-5.78,-6.12,-6.13
BS18(s),,,,,,,,,,,,,,,,,,,0.5,1.23,1.0,1.02,0.65,0.32,0.3
BS19(s),,,,,,,,,,,,,,,,,,,,0.73,0.5,0.52,0.15,-0.18,-0.2
BS20(s),,,,,,,,,,,,,,,,,,,,,-0.23,-0.22,-0.58,-0.92,-0.93
BS21,,,,,,,,,,,,,,,,,,,,,,0.02,-0.35,-0.68,-0.7
BS22,,,,,,,,,,,,,,,,,,,,,,,-0.37,-0.7,-0.72
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.33,-0.35
BS24(s),,,,,,,,,,,,,,,,,,,,,,,,,-0.02
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,
