,BS1(s),BS2,BS3,BS4(s),BS5(s),BS6(s),BS7,BS8,BS9,BS10,BS11,BS12(s),BS13,BS14,BS15(s),BS16,BS17,BS18(s),BS19(s),BS20(s),BS21(s),BS22,BS23,BS24(s),BS25(s)
BS1(s),,-0.07,-2.33,-1.53,-0.77,0.08,0.4,0.73,1.13,1.33,1.75,2.13,2.48,2.93,3.57,3.9,3.7,-6.6,-6.87,-6.82,-7.22,-7.92,-8.8,-9.47,-9.72
BS2,,,-2.27,-1.47,-0.7,0.15,0.47,0.8,1.2,1.4,1.82,2.2,2.55,3.0,3.63,3.97,3.77,-6.53,-6.8,-6.75,-7.15,-7.85,-8.73,-9.4,-9.65
BS3,,,,0.8,1.57,2.42,2.73,3.07,3.47,3.67,4.08,4.47,4.82,5.27,5.9,6.23,6.03,-4.27,-4.53,-4.48,-4.88,-5.58,-6.47,-7.13,-7.38
BS4(s),,,,,0.77,1.62,1.93,2.27,2.67,2.87,3.28,3.67,4.02,4.47,5.1,5.43,5.23,-5.07,-5.33,-5.28,-5.68,-6.38,-7.27,-7.93,-8.18
BS5(s),,,,,,0.85,1.17,1.5,1.9,2.1,2.52,2.9,3.25,3.7,4.33,4.67,4.47,-5.83,-6.1,-6.05,-6.45,-7.15,-8.03,-8.7,-8.95
BS6(s),,,,,,,0.32,0.65,1.05,1.25,1.67,2.05,2.4,2.85,3.48,3.82,3.62,-6.68,-6.95,-6.9,-7.3,-8.0,-8.88,-9.55,-9.8
BS7,,,,,,,,0.33,0.73,0.93,1.35,1.73,2.08,2.53,3.17,3.5,3.3,-7.0,-7.27,-7.22,-7.62,-8.32,-9.2,-9.87,-10.12
BS8,,,,,,,,,0.4,0.6,1.02,1.4,1.75,2.2,2.83,3.17,2.97,-7.33,-7.6,-7.55,-7.95,-8.65,-9.53,-10.2,-10.45
BS9,,,,,,,,,,0.2,0.62,1.0,1.35,1.8,2.43,2.77,2.57,-7.73,-8.0,-7.95,-8.35,-9.05,-9.93,-10.6,-10.85
BS10,,,,,,,,,,,0.42,0.8,1.15,1.6,2.23,2.57,2.37,-7.93,-8.2,-8.15,-8.55,-9.25,-10.13,-10.8,-11.05
BS11,,,,,,,,,,,,0.38,0.73,1.18,1.82,2.15,1.95,-8.35,-8.62,-8.57,-8.97,-9.67,-10.55,-11.22,-11.47
BS12(s),,,,,,,,,,,,,0.35,0.8,1.43,1.77,1.57,-8.73,-9.0,-8.95,-9.35,-10.05,-10.93,-11.6,-11.85
BS13,,,,,,,,,,,,,,0.45,1.08,1.42,1.22,-9.08,-9.35,-9.3,-9.7,-10.4,-11.28,-11.95,-12.2
BS14,,,,,,,,,,,,,,,0.63,0.97,0.77,-9.53,-9.8,-9.75,-10.15,-10.85,-11.73,-12.4,-12.65
BS15(s),,,,,,,,,,,,,,,,0.33,0.13,-10.17,-10.43,-10.38,-10.78,-11.48,-12.37,-13.03,-13.28
BS16,,,,,,,,,,,,,,,,,-0.2,-10.5,-10.77,-10.72,-11.12,-11.82,-12.7,-13.37,-13.62
BS17,,,,,,,,,,,,,,,,,,-10.3,-10.57,-10.52,-10.92,-11.62,-12.5,-13.17,-13.42
BS18(s),,,,,,,,,,,,,,,,,,,-0.27,-0.22,-0.62,-1.32,-2.2,-2.87,-3.12
BS19(s),,,,,,,,,,,,,,,,,,,,0.05,-0.35,-1.05,-1.93,-2.6,-2.85
BS20(s),,,,,,,,,,,,,,,,,,,,,-0.4,-1.1,-1.98,-2.65,-2.9
BS21(s),,,,,,,,,,,,,,,,,,,,,,-0.7,-1.58,-2.25,-2.5
BS22,,,,,,,,,,,,,,,,,,,,,,,-0.88,-1.55,-1.8
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.67,-0.92
BS24(s),,,,,,,,,,,,,,,,,,,,,,,,,-0.25
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,
