,BS1(s),BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9(s),BS10,BS11(s),BS12(s),BS13,BS14,BS15(s),BS16,BS17(s),BS18(s),BS19(s),BS20(s),BS21(s),BS22,BS23,BS24,BS25(s)
BS1(s),,-0.18,-2.35,-2.03,-1.82,-1.5,-1.45,-1.52,-0.72,-0.37,0.27,0.77,1.27,1.68,2.08,2.35,2.05,-2.33,-1.15,0.28,0.85,0.47,-0.03,-1.02,-1.17
BS2,,,-2.17,-1.85,-1.63,-1.32,-1.27,-1.33,-0.53,-0.18,0.45,0.95,1.45,1.87,2.27,2.53,2.23,-2.15,-0.97,0.47,1.03,0.65,0.15,-0.83,-0.98
BS3,,,,0.32,0.53,0.85,0.9,0.83,1.63,1.98,2.62,3.12,3.62,4.03,4.43,4.7,4.4,0.02,1.2,2.63,3.2,2.82,2.32,1.33,1.18
BS4,,,,,0.22,0.53,0.58,0.52,1.32,1.67,2.3,2.8,3.3,3.72,4.12,4.38,4.08,-0.3,0.88,2.32,2.88,2.5,2.0,1.02,0.87
BS5,,,,,,0.32,0.37,0.3,1.1,1.45,2.08,2.58,3.08,3.5,3.9,4.17,3.87,-0.52,0.67,2.1,2.67,2.28,1.78,0.8,0.65
BS6,,,,,,,0.05,-0.02,0.78,1.13,1.77,2.27,2.77,3.18,3.58,3.85,3.55,-0.83,0.35,1.78,2.35,1.97,1.47,0.48,0.33
BS7,,,,,,,,-0.07,0.73,1.08,1.72,2.22,2.72,3.13,3.53,3.8,3.5,-0.88,0.3,1.73,2.3,1.92,1.42,0.43,0.28
BS8,,,,,,,,,0.8,1.15,1.78,2.28,2.78,3.2,3.6,3.87,3.57,-0.82,0.37,1.8,2.37,1.98,1.48,0.5,0.35
BS9(s),,,,,,,,,,0.35,0.98,1.48,1.98,2.4,2.8,3.07,2.77,-1.62,-0.43,1.0,1.57,1.18,0.68,-0.3,-0.45
BS10,,,,,,,,,,,0.63,1.13,1.63,2.05,2.45,2.72,2.42,-1.97,-0.78,0.65,1.22,0.83,0.33,-0.65,-0.8
BS11(s),,,,,,,,,,,,0.5,1.0,1.42,1.82,2.08,1.78,-2.6,-1.42,0.02,0.58,0.2,-0.3,-1.28,-1.43
BS12(s),,,,,,,,,,,,,0.5,0.92,1.32,1.58,1.28,-3.1,-1.92,-0.48,0.08,-0.3,-0.8,-1.78,-1.93
BS13,,,,,,,,,,,,,,0.42,0.82,1.08,0.78,-3.6,-2.42,-0.98,-0.42,-0.8,-1.3,-2.28,-2.43
BS14,,,,,,,,,,,,,,,0.4,0.67,0.37,-4.02,-2.83,-1.4,-0.83,-1.22,-1.72,-2.7,-2.85
BS15(s),,,,,,,,,,,,,,,,0.27,-0.03,-4.42,-3.23,-1.8,-1.23,-1.62,-2.12,-3.1,-3.25
BS16,,,,,,,,,,,,,,,,,-0.3,-4.68,-3.5,-2.07,-1.5,-1.88,-2.38,-3.37,-3.52
BS17(s),,,,,,,,,,,,,,,,,,-4.38,-3.2,-1.77,-1.2,-1.58,-2.08,-3.07,-3.22
BS18(s),,,,,,,,,,,,,,,,,,,1.18,2.62,3.18,2.8,2.3,1.32,1.17
BS19(s),,,,,,,,,,,,,,,,,,,,1.43,2.0,1.62,1.12,0.13,-0.02
BS20(s),,,,,,,,,,,,,,,,,,,,,0.57,0.18,-0.32,-1.3,-1.45
BS21(s),,,,,,,,,,,,,,,,,,,,,,-0.38,-0.88,-1.87,-2.02
BS22,,,,,,,,,,,,,,,,,,,,,,,-0.5,-1.48,-1.63
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.98,-1.13
BS24,,,,,,,,,,,,,,,,,,,,,,,,,-0.15
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,
