,BS1(s),BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10(s),BS11(s),BS12(s),BS13,BS14,BS15,BS16,BS17(s),BS18(s),BS19(s),BS20(s),BS21(s),BS22,BS23,BS24(s),BS25(s)
BS1(s),,0.43,-0.73,-1.05,-0.92,-0.6,-0.3,-0.22,-0.13,0.42,0.97,1.63,1.97,2.47,2.45,2.7,2.17,-1.85,-1.6,-0.37,0.28,-0.4,-2.0,-1.82,-1.95
BS2,,,-1.17,-1.48,-1.35,-1.03,-0.73,-0.65,-0.57,-0.02,0.53,1.2,1.53,2.03,2.02,2.27,1.73,-2.28,-2.03,-0.8,-0.15,-0.83,-2.43,-2.25,-2.38
BS3,,,,-0.32,-0.18,0.13,0.43,0.52,0.6,1.15,1.7,2.37,2.7,3.2,3.18,3.43,2.9,-1.12,-0.87,0.37,1.02,0.33,-1.27,-1.08,-1.22
BS4,,,,,0.13,0.45,0.75,0.83,0.92,1.47,2.02,2.68,3.02,3.52,3.5,3.75,3.22,-0.8,-0.55,0.68,1.33,0.65,-0.95,-0.77,-0.9
BS5,,,,,,0.32,0.62,0.7,0.78,1.33,1.88,2.55,2.88,3.38,3.37,3.62,3.08,-0.93,-0.68,0.55,1.2,0.52,-1.08,-0.9,-1.03
BS6,,,,,,,0.3,0.38,0.47,1.02,1.57,2.23,2.57,3.07,3.05,3.3,2.77,-1.25,-1.0,0.23,0.88,0.2,-1.4,-1.22,-1.35
BS7,,,,,,,,0.08,0.17,0.72,1.27,1.93,2.27,2.77,2.75,3.0,2.47,-1.55,-1.3,-0.07,0.58,-0.1,-1.7,-1.52,-1.65
BS8,,,,,,,,,0.08,0.63,1.18,1.85,2.18,2.68,2.67,2.92,2.38,-1.63,-1.38,-0.15,0.5,-0.18,-1.78,-1.6,-1.73
BS9,,,,,,,,,,0.55,1.1,1.77,2.1,2.6,2.58,2.83,2.3,-1.72,-1.47,-0.23,0.42,-0.27,-1.87,-1.68,-1.82
BS10(s),,,,,,,,,,,0.55,1.22,1.55,2.05,2.03,2.28,1.75,-2.27,-2.02,-0.78,-0.13,-0.82,-2.42,-2.23,-2.37
BS11(s),,,,,,,,,,,,0.67,1.0,1.5,1.48,1.73,1.2,-2.82,-2.57,-1.33,-0.68,-1.37,-2.97,-2.78,-2.92
BS12(s),,,,,,,,,,,,,0.33,0.83,0.82,1.07,0.53,-3.48,-3.23,-2.0,-1.35,-2.03,-3.63,-3.45,-3.58
BS13,,,,,,,,,,,,,,0.5,0.48,0.73,0.2,-3.82,-3.57,-2.33,-1.68,-2.37,-3.97,-3.78,-3.92
BS14,,,,,,,,,,,,,,,-0.02,0.23,-0.3,-4.32,-4.07,-2.83,-2.18,-2.87,-4.47,-4.28,-4.42
BS15,,,,,,,,,,,,,,,,0.25,-0.28,-4.3,-4.05,-2.82,-2.17,-2.85,-4.45,-4.27,-4.4
BS16,,,,,,,,,,,,,,,,,-0.53,-4.55,-4.3,-3.07,-2.42,-3.1,-4.7,-4.52,-4.65
BS17(s),,,,,,,,,,,,,,,,,,-4.02,-3.77,-2.53,-1.88,-2.57,-4.17,-3.98,-4.12
BS18(s),,,,,,,,,,,,,,,,,,,0.25,1.48,2.13,1.45,-0.15,0.03,-0.1
BS19(s),,,,,,,,,,,,,,,,,,,,1.23,1.88,1.2,-0.4,-0.22,-0.35
BS20(s),,,,,,,,,,,,,,,,,,,,,0.65,-0.03,-1.63,-1.45,-1.58
BS21(s),,,,,,,,,,,,,,,,,,,,,,-0.68,-2.28,-2.1,-2.23
BS22,,,,,,,,,,,,,,,,,,,,,,,-1.6,-1.42,-1.55
BS23,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.05
BS24(s),,,,,,,,,,,,,,,,,,,,,,,,,-0.13
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,
