,BS1(s),BS2,BS3,BS4(s),BS5,BS6,BS7,BS8,BS9,BS10,BS11(s),BS12(s),BS13,BS14,BS15(s),BS16(s),BS17(s),BS18(s),BS19(s),BS20(s),BS21,BS22,BS23(s),BS24(s),BS25(s)
BS1(s),,0.28,0.18,0.48,0.62,0.78,0.68,0.88,0.45,0.45,1.33,1.68,2.1,2.65,2.92,3.6,3.27,-0.62,2.27,4.17,3.72,3.25,3.02,3.47,3.53
BS2,,,-0.1,0.2,0.33,0.5,0.4,0.6,0.17,0.17,1.05,1.4,1.82,2.37,2.63,3.32,2.98,-0.9,1.98,3.88,3.43,2.97,2.73,3.18,3.25
BS3,,,,0.3,0.43,0.6,0.5,0.7,0.27,0.27,1.15,1.5,1.92,2.47,2.73,3.42,3.08,-0.8,2.08,3.98,3.53,3.07,2.83,3.28,3.35
BS4(s),,,,,0.13,0.3,0.2,0.4,-0.03,-0.03,0.85,1.2,1.62,2.17,2.43,3.12,2.78,-1.1,1.78,3.68,3.23,2.77,2.53,2.98,3.05
BS5,,,,,,0.17,0.07,0.27,-0.17,-0.17,0.72,1.07,1.48,2.03,2.3,2.98,2.65,-1.23,1.65,3.55,3.1,2.63,2.4,2.85,2.92
BS6,,,,,,,-0.1,0.1,-0.33,-0.33,0.55,0.9,1.32,1.87,2.13,2.82,2.48,-1.4,1.48,3.38,2.93,2.47,2.23,2.68,2.75
BS7,,,,,,,,0.2,-0.23,-0.23,0.65,1.0,1.42,1.97,2.23,2.92,2.58,-1.3,1.58,3.48,3.03,2.57,2.33,2.78,2.85
BS8,,,,,,,,,-0.43,-0.43,0.45,0.8,1.22,1.77,2.03,2.72,2.38,-1.5,1.38,3.28,2.83,2.37,2.13,2.58,2.65
BS9,,,,,,,,,,0.0,0.88,1.23,1.65,2.2,2.47,3.15,2.82,-1.07,1.82,3.72,3.27,2.8,2.57,3.02,3.08
BS10,,,,,,,,,,,0.88,1.23,1.65,2.2,2.47,3.15,2.82,-1.07,1.82,3.72,3.27,2.8,2.57,3.02,3.08
BS11(s),,,,,,,,,,,,0.35,0.77,1.32,1.58,2.27,1.93,-1.95,0.93,2.83,2.38,1.92,1.68,2.13,2.2
BS12(s),,,,,,,,,,,,,0.42,0.97,1.23,1.92,1.58,-2.3,0.58,2.48,2.03,1.57,1.33,1.78,1.85
BS13,,,,,,,,,,,,,,0.55,0.82,1.5,1.17,-2.72,0.17,2.07,1.62,1.15,0.92,1.37,1.43
BS14,,,,,,,,,,,,,,,0.27,0.95,0.62,-3.27,-0.38,1.52,1.07,0.6,0.37,0.82,0.88
BS15(s),,,,,,,,,,,,,,,,0.68,0.35,-3.53,-0.65,1.25,0.8,0.33,0.1,0.55,0.62
BS16(s),,,,,,,,,,,,,,,,,-0.33,-4.22,-1.33,0.57,0.12,-0.35,-0.58,-0.13,-0.07
BS17(s),,,,,,,,,,,,,,,,,,-3.88,-1.0,0.9,0.45,-0.02,-0.25,0.2,0.27
BS18(s),,,,,,,,,,,,,,,,,,,2.88,4.78,4.33,3.87,3.63,4.08,4.15
BS19(s),,,,,,,,,,,,,,,,,,,,1.9,1.45,0.98,0.75,1.2,1.27
BS20(s),,,,,,,,,,,,,,,,,,,,,-0.45,-0.92,-1.15,-0.7,-0.63
BS21,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.7,-0.25,-0.18
BS22,,,,,,,,,,,,,,,,,,,,,,,-0.23,0.22,0.28
BS23(s),,,,,,,,,,,,,,,,,,,,,,,,0.45,0.52
BS24(s),,,,,,,,,,,,,,,,,,,,,,,,,0.07
BS25(s),,,,,,,,,,,,,,,,,,,,,,,,,
