,BS1(s),BS2(s),BS3,BS4,BS5,BS6(s),BS7(s),BS8(s),BS9,BS10,BS11,BS12,BS13,BS14(s),BS15,BS16,BS17(s),BS18(s),BS19,BS20(s),BS21(s),BS22,BS23(s),BS24,BS25,BS26(s),BS27,BS28(s)
BS1(s),--,09:03:57,09:05:17,09:07:47,09:09:07,09:10:33,09:15:28,09:19:45,09:22:59,09:24:37,09:26:04,09:27:14,09:28:12,09:29:17,09:29:59,09:30:57,09:34:15,09:36:13,09:36:53,09:37:56,09:38:48,09:39:29,09:40:24,09:41:02,09:41:39,09:42:42,09:43:27,09:45:25
BS2(s),--,--,09:04:44,09:07:14,09:08:34,09:10:00,09:14:55,09:19:12,09:22:26,09:24:04,09:25:31,09:26:41,09:27:39,09:28:44,09:29:26,09:30:24,09:33:42,09:35:40,09:36:20,09:37:23,09:38:15,09:38:56,09:39:51,09:40:29,09:41:06,09:42:09,09:42:54,09:44:52
BS3,--,--,--,09:09:28,09:10:48,09:12:14,09:17:09,09:21:26,09:24:40,09:26:18,09:27:45,09:28:55,09:29:53,09:30:58,09:31:40,09:32:38,09:35:56,09:37:54,09:38:34,09:39:37,09:40:29,09:41:10,09:42:05,09:42:43,09:43:20,09:44:23,09:45:08,09:47:06
BS4,--,--,--,--,09:10:42,09:12:08,09:17:03,09:21:20,09:24:34,09:26:12,09:27:39,09:28:49,09:29:47,09:30:52,09:31:34,09:32:32,09:35:50,09:37:48,09:38:28,09:39:31,09:40:23,09:41:04,09:41:59,09:42:37,09:43:14,09:44:17,09:45:02,09:47:00
BS5,--,--,--,--,--,09:12:16,09:17:11,09:21:28,09:24:42,09:26:20,09:27:47,09:28:57,09:29:55,09:31:00,09:31:42,09:32:40,09:35:58,09:37:56,09:38:36,09:39:39,09:40:31,09:41:12,09:42:07,09:42:45,09:43:22,09:44:25,09:45:10,09:47:08
BS6(s),--,--,--,--,--,--,09:16:24,09:20:41,09:23:55,09:25:33,09:27:00,09:28:10,09:29:08,09:30:13,09:30:55,09:31:53,09:35:11,09:37:09,09:37:49,09:38:52,09:39:44,09:40:25,09:41:20,09:41:58,09:42:35,09:43:38,09:44:23,09:46:21
BS7(s),--,--,--,--,--,--,--,09:17:41,09:20:55,09:22:33,09:24:00,09:25:10,09:26:08,09:27:13,09:27:55,09:28:53,09:32:11,09:34:09,09:34:49,09:35:52,09:36:44,09:37:25,09:38:20,09:38:58,09:39:35,09:40:38,09:41:23,09:43:21
BS8(s),--,--,--,--,--,--,--,--,09:18:17,09:19:55,09:21:22,09:22:32,09:23:30,09:24:35,09:25:17,09:26:15,09:29:33,09:31:31,09:32:11,09:33:14,09:34:06,09:34:47,09:35:42,09:36:20,09:36:57,09:38:00,09:38:45,09:40:43
BS9,--,--,--,--,--,--,--,--,--,09:20:26,09:21:53,09:23:03,09:24:01,09:25:06,09:25:48,09:26:46,09:30:04,09:32:02,09:32:42,09:33:45,09:34:37,09:35:18,09:36:13,09:36:51,09:37:28,09:38:31,09:39:16,09:41:14
BS10,--,--,--,--,--,--,--,--,--,--,09:21:48,09:22:58,09:23:56,09:25:01,09:25:43,09:26:41,09:29:59,09:31:57,09:32:37,09:33:40,09:34:32,09:35:13,09:36:08,09:36:46,09:37:23,09:38:26,09:39:11,09:41:09
BS11,--,--,--,--,--,--,--,--,--,--,--,09:23:01,09:23:59,09:25:04,09:25:46,09:26:44,09:30:02,09:32:00,09:32:40,09:33:43,09:34:35,09:35:16,09:36:11,09:36:49,09:37:26,09:38:29,09:39:14,09:41:12
BS12,--,--,--,--,--,--,--,--,--,--,--,--,09:24:06,09:25:11,09:25:53,09:26:51,09:30:09,09:32:07,09:32:47,09:33:50,09:34:42,09:35:23,09:36:18,09:36:56,09:37:33,09:38:36,09:39:21,09:41:19
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,09:27:05,09:27:47,09:28:45,09:32:03,09:34:01,09:34:41,09:35:44,09:36:36,09:37:17,09:38:12,09:38:50,09:39:27,09:40:30,09:41:15,09:43:13
BS14(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:27:24,09:28:22,09:31:40,09:33:38,09:34:18,09:35:21,09:36:13,09:36:54,09:37:49,09:38:27,09:39:04,09:40:07,09:40:52,09:42:50
BS15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:28:00,09:31:18,09:33:16,09:33:56,09:34:59,09:35:51,09:36:32,09:37:27,09:38:05,09:38:42,09:39:45,09:40:30,09:42:28
BS16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:31:44,09:33:42,09:34:22,09:35:25,09:36:17,09:36:58,09:37:53,09:38:31,09:39:08,09:40:11,09:40:56,09:42:54
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:34:26,09:35:06,09:36:09,09:37:01,09:37:42,09:38:37,09:39:15,09:39:52,09:40:55,09:41:40,09:43:38
BS18(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:35:06,09:36:09,09:37:01,09:37:42,09:38:37,09:39:15,09:39:52,09:40:55,09:41:40,09:43:38
BS19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:36:17,09:37:09,09:37:50,09:38:45,09:39:23,09:40:00,09:41:03,09:41:48,09:43:46
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:36:35,09:37:16,09:38:11,09:38:49,09:39:26,09:40:29,09:41:14,09:43:12
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:36:45,09:37:40,09:38:18,09:38:55,09:39:58,09:40:43,09:42:41
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:38:35,09:39:13,09:39:50,09:40:53,09:41:38,09:43:36
BS23(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:38:48,09:39:25,09:40:28,09:41:13,09:43:11
BS24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:39:20,09:40:23,09:41:08,09:43:06
BS25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:40:36,09:41:21,09:43:19
BS26(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:41:00,09:42:58
BS27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:43:30
BS28(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
