,BS1(s),BS2(s),BS3(s),BS4,BS5,BS6(s),BS7,BS8(s),BS9,BS10(s),BS11,BS12,BS13,BS14(s),BS15,BS16,BS17(s),BS18(s),BS19,BS20(s),BS21(s),BS22,BS23,BS24,BS25(s),BS26,BS27(s),BS28(s)
BS1(s),--,19:27:28,19:30:53,19:33:10,19:34:19,19:35:14,19:37:24,19:40:22,19:43:44,19:45:57,19:47:41,19:49:03,19:50:16,19:51:11,19:51:54,19:53:07,19:54:28,19:56:20,19:57:02,19:57:56,19:58:40,19:59:31,20:00:10,20:00:51,20:01:42,20:02:27,20:04:13,20:06:12
BS2(s),--,--,19:30:28,19:32:45,19:33:54,19:34:49,19:36:59,19:39:57,19:43:19,19:45:32,19:47:16,19:48:38,19:49:51,19:50:46,19:51:29,19:52:42,19:54:03,19:55:55,19:56:37,19:57:31,19:58:15,19:59:06,19:59:45,20:00:26,20:01:17,20:02:02,20:03:48,20:05:47
BS3(s),--,--,--,19:30:29,19:31:38,19:32:33,19:34:43,19:37:41,19:41:03,19:43:16,19:45:00,19:46:22,19:47:35,19:48:30,19:49:13,19:50:26,19:51:47,19:53:39,19:54:21,19:55:15,19:55:59,19:56:50,19:57:29,19:58:10,19:59:01,19:59:46,20:01:32,20:03:31
BS4,--,--,--,--,19:31:41,19:32:36,19:34:46,19:37:44,19:41:06,19:43:19,19:45:03,19:46:25,19:47:38,19:48:33,19:49:16,19:50:29,19:51:50,19:53:42,19:54:24,19:55:18,19:56:02,19:56:53,19:57:32,19:58:13,19:59:04,19:59:49,20:01:35,20:03:34
BS5,--,--,--,--,--,19:32:26,19:34:36,19:37:34,19:40:56,19:43:09,19:44:53,19:46:15,19:47:28,19:48:23,19:49:06,19:50:19,19:51:40,19:53:32,19:54:14,19:55:08,19:55:52,19:56:43,19:57:22,19:58:03,19:58:54,19:59:39,20:01:25,20:03:24
BS6(s),--,--,--,--,--,--,19:34:14,19:37:12,19:40:34,19:42:47,19:44:31,19:45:53,19:47:06,19:48:01,19:48:44,19:49:57,19:51:18,19:53:10,19:53:52,19:54:46,19:55:30,19:56:21,19:57:00,19:57:41,19:58:32,19:59:17,20:01:03,20:03:02
BS7,--,--,--,--,--,--,--,19:36:38,19:40:00,19:42:13,19:43:57,19:45:19,19:46:32,19:47:27,19:48:10,19:49:23,19:50:44,19:52:36,19:53:18,19:54:12,19:54:56,19:55:47,19:56:26,19:57:07,19:57:58,19:58:43,20:00:29,20:02:28
BS8(s),--,--,--,--,--,--,--,--,19:38:59,19:41:12,19:42:56,19:44:18,19:45:31,19:46:26,19:47:09,19:48:22,19:49:43,19:51:35,19:52:17,19:53:11,19:53:55,19:54:46,19:55:25,19:56:06,19:56:57,19:57:42,19:59:28,20:01:27
BS9,--,--,--,--,--,--,--,--,--,19:40:54,19:42:38,19:44:00,19:45:13,19:46:08,19:46:51,19:48:04,19:49:25,19:51:17,19:51:59,19:52:53,19:53:37,19:54:28,19:55:07,19:55:48,19:56:39,19:57:24,19:59:10,20:01:09
BS10(s),--,--,--,--,--,--,--,--,--,--,19:42:01,19:43:23,19:44:36,19:45:31,19:46:14,19:47:27,19:48:48,19:50:40,19:51:22,19:52:16,19:53:00,19:53:51,19:54:30,19:55:11,19:56:02,19:56:47,19:58:33,20:00:32
BS11,--,--,--,--,--,--,--,--,--,--,--,19:42:59,19:44:12,19:45:07,19:45:50,19:47:03,19:48:24,19:50:16,19:50:58,19:51:52,19:52:36,19:53:27,19:54:06,19:54:47,19:55:38,19:56:23,19:58:09,20:00:08
BS12,--,--,--,--,--,--,--,--,--,--,--,--,19:44:52,19:45:47,19:46:30,19:47:43,19:49:04,19:50:56,19:51:38,19:52:32,19:53:16,19:54:07,19:54:46,19:55:27,19:56:18,19:57:03,19:58:49,20:00:48
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,19:46:46,19:47:29,19:48:42,19:50:03,19:51:55,19:52:37,19:53:31,19:54:15,19:55:06,19:55:45,19:56:26,19:57:17,19:58:02,19:59:48,20:01:47
BS14(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:47:42,19:48:55,19:50:16,19:52:08,19:52:50,19:53:44,19:54:28,19:55:19,19:55:58,19:56:39,19:57:30,19:58:15,20:00:01,20:02:00
BS15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:48:41,19:50:02,19:51:54,19:52:36,19:53:30,19:54:14,19:55:05,19:55:44,19:56:25,19:57:16,19:58:01,19:59:47,20:01:46
BS16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:50:10,19:52:02,19:52:44,19:53:38,19:54:22,19:55:13,19:55:52,19:56:33,19:57:24,19:58:09,19:59:55,20:01:54
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:52:57,19:53:39,19:54:33,19:55:17,19:56:08,19:56:47,19:57:28,19:58:19,19:59:04,20:00:50,20:02:49
BS18(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:53:58,19:54:52,19:55:36,19:56:27,19:57:06,19:57:47,19:58:38,19:59:23,20:01:09,20:03:08
BS19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:54:56,19:55:40,19:56:31,19:57:10,19:57:51,19:58:42,19:59:27,20:01:13,20:03:12
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:55:20,19:56:11,19:56:50,19:57:31,19:58:22,19:59:07,20:00:53,20:02:52
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:55:50,19:56:29,19:57:10,19:58:01,19:58:46,20:00:32,20:02:31
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:56:42,19:57:23,19:58:14,19:58:59,20:00:45,20:02:44
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:57:41,19:58:32,19:59:17,20:01:03,20:03:02
BS24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:58:50,19:59:35,20:01:21,20:03:20
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:59:34,20:01:20,20:03:19
BS26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20:01:23,20:03:22
BS27(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20:03:38
BS28(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
