,BS1(s),BS2(s),BS3,BS4,BS5,BS6(s),BS7(s),BS8(s),BS9,BS10(s),BS11,BS12(s),BS13,BS14(s),BS15,BS16,BS17,BS18,BS19,BS20(s),BS21(s),BS22(s),BS23(s),BS24(s),BS25,BS26,BS27(s),BS28
BS1(s),--,09:24:22,09:25:31,09:27:35,09:28:46,09:29:52,09:33:29,09:36:51,09:40:22,09:42:54,09:44:44,09:46:33,09:47:49,09:48:56,09:49:45,09:51:01,09:53:12,09:54:32,09:55:18,09:56:26,09:57:21,09:58:37,09:59:35,10:00:34,10:01:18,10:02:05,10:04:04,10:05:10
BS2(s),--,--,09:24:58,09:27:02,09:28:13,09:29:19,09:32:56,09:36:18,09:39:49,09:42:21,09:44:11,09:46:00,09:47:16,09:48:23,09:49:12,09:50:28,09:52:39,09:53:59,09:54:45,09:55:53,09:56:48,09:58:04,09:59:02,10:00:01,10:00:45,10:01:32,10:03:31,10:04:37
BS3,--,--,--,09:28:42,09:29:53,09:30:59,09:34:36,09:37:58,09:41:29,09:44:01,09:45:51,09:47:40,09:48:56,09:50:03,09:50:52,09:52:08,09:54:19,09:55:39,09:56:25,09:57:33,09:58:28,09:59:44,10:00:42,10:01:41,10:02:25,10:03:12,10:05:11,10:06:17
BS4,--,--,--,--,09:30:17,09:31:23,09:35:00,09:38:22,09:41:53,09:44:25,09:46:15,09:48:04,09:49:20,09:50:27,09:51:16,09:52:32,09:54:43,09:56:03,09:56:49,09:57:57,09:58:52,10:00:08,10:01:06,10:02:05,10:02:49,10:03:36,10:05:35,10:06:41
BS5,--,--,--,--,--,09:31:26,09:35:03,09:38:25,09:41:56,09:44:28,09:46:18,09:48:07,09:49:23,09:50:30,09:51:19,09:52:35,09:54:46,09:56:06,09:56:52,09:58:00,09:58:55,10:00:11,10:01:09,10:02:08,10:02:52,10:03:39,10:05:38,10:06:44
BS6(s),--,--,--,--,--,--,09:34:24,09:37:46,09:41:17,09:43:49,09:45:39,09:47:28,09:48:44,09:49:51,09:50:40,09:51:56,09:54:07,09:55:27,09:56:13,09:57:21,09:58:16,09:59:32,10:00:30,10:01:29,10:02:13,10:03:00,10:04:59,10:06:05
BS7(s),--,--,--,--,--,--,--,09:36:04,09:39:35,09:42:07,09:43:57,09:45:46,09:47:02,09:48:09,09:48:58,09:50:14,09:52:25,09:53:45,09:54:31,09:55:39,09:56:34,09:57:50,09:58:48,09:59:47,10:00:31,10:01:18,10:03:17,10:04:23
BS8(s),--,--,--,--,--,--,--,--,09:38:16,09:40:48,09:42:38,09:44:27,09:45:43,09:46:50,09:47:39,09:48:55,09:51:06,09:52:26,09:53:12,09:54:20,09:55:15,09:56:31,09:57:29,09:58:28,09:59:12,09:59:59,10:01:58,10:03:04
BS9,--,--,--,--,--,--,--,--,--,09:40:45,09:42:35,09:44:24,09:45:40,09:46:47,09:47:36,09:48:52,09:51:03,09:52:23,09:53:09,09:54:17,09:55:12,09:56:28,09:57:26,09:58:25,09:59:09,09:59:56,10:01:55,10:03:01
BS10(s),--,--,--,--,--,--,--,--,--,--,09:41:11,09:43:00,09:44:16,09:45:23,09:46:12,09:47:28,09:49:39,09:50:59,09:51:45,09:52:53,09:53:48,09:55:04,09:56:02,09:57:01,09:57:45,09:58:32,10:00:31,10:01:37
BS11,--,--,--,--,--,--,--,--,--,--,--,09:42:25,09:43:41,09:44:48,09:45:37,09:46:53,09:49:04,09:50:24,09:51:10,09:52:18,09:53:13,09:54:29,09:55:27,09:56:26,09:57:10,09:57:57,09:59:56,10:01:02
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,09:43:08,09:44:15,09:45:04,09:46:20,09:48:31,09:49:51,09:50:37,09:51:45,09:52:40,09:53:56,09:54:54,09:55:53,09:56:37,09:57:24,09:59:23,10:00:29
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,09:45:21,09:46:10,09:47:26,09:49:37,09:50:57,09:51:43,09:52:51,09:53:46,09:55:02,09:56:00,09:56:59,09:57:43,09:58:30,10:00:29,10:01:35
BS14(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:45:54,09:47:10,09:49:21,09:50:41,09:51:27,09:52:35,09:53:30,09:54:46,09:55:44,09:56:43,09:57:27,09:58:14,10:00:13,10:01:19
BS15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:46:45,09:48:56,09:50:16,09:51:02,09:52:10,09:53:05,09:54:21,09:55:19,09:56:18,09:57:02,09:57:49,09:59:48,10:00:54
BS16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:48:53,09:50:13,09:50:59,09:52:07,09:53:02,09:54:18,09:55:16,09:56:15,09:56:59,09:57:46,09:59:45,10:00:51
BS17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:52:57,09:53:43,09:54:51,09:55:46,09:57:02,09:58:00,09:58:59,09:59:43,10:00:30,10:02:29,10:03:35
BS18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:54:52,09:56:00,09:56:55,09:58:11,09:59:09,10:00:08,10:00:52,10:01:39,10:03:38,10:04:44
BS19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:55:51,09:56:46,09:58:02,09:59:00,09:59:59,10:00:43,10:01:30,10:03:29,10:04:35
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:56:44,09:58:00,09:58:58,09:59:57,10:00:41,10:01:28,10:03:27,10:04:33
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:57:24,09:58:22,09:59:21,10:00:05,10:00:52,10:02:51,10:03:57
BS22(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:58:00,09:58:59,09:59:43,10:00:30,10:02:29,10:03:35
BS23(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:58:22,09:59:06,09:59:53,10:01:52,10:02:58
BS24(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:58:33,09:59:20,10:01:19,10:02:25
BS25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:59:27,10:01:26,10:02:32
BS26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:01:27,10:02:33
BS27(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:02:26
BS28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
