,BS1(s),BS2(s),BS3,BS4,BS5,BS6(s),BS7(s),BS8(s),BS9(s),BS10(s),BS11,BS12,BS13,BS14(s),BS15,BS16,BS17,BS18(s),BS19(s),BS20(s),BS21(s),BS22(s),BS23,BS24,BS25,BS26(s),BS27(s),BS28(s)
BS1(s),--,11:52:16,11:53:41,11:56:01,11:57:19,11:58:22,12:01:51,12:04:52,12:09:06,12:11:20,12:12:59,12:14:21,12:15:38,12:16:41,12:17:30,12:18:43,12:19:50,12:21:41,12:22:36,12:23:36,12:24:25,12:25:32,12:26:15,12:26:59,12:27:43,12:28:47,12:30:38,12:32:50
BS2(s),--,--,11:53:09,11:55:29,11:56:47,11:57:50,12:01:19,12:04:20,12:08:34,12:10:48,12:12:27,12:13:49,12:15:06,12:16:09,12:16:58,12:18:11,12:19:18,12:21:09,12:22:04,12:23:04,12:23:53,12:25:00,12:25:43,12:26:27,12:27:11,12:28:15,12:30:06,12:32:18
BS3,--,--,--,11:57:11,11:58:29,11:59:32,12:03:01,12:06:02,12:10:16,12:12:30,12:14:09,12:15:31,12:16:48,12:17:51,12:18:40,12:19:53,12:21:00,12:22:51,12:23:46,12:24:46,12:25:35,12:26:42,12:27:25,12:28:09,12:28:53,12:29:57,12:31:48,12:34:00
BS4,--,--,--,--,11:58:19,11:59:22,12:02:51,12:05:52,12:10:06,12:12:20,12:13:59,12:15:21,12:16:38,12:17:41,12:18:30,12:19:43,12:20:50,12:22:41,12:23:36,12:24:36,12:25:25,12:26:32,12:27:15,12:27:59,12:28:43,12:29:47,12:31:38,12:33:50
BS5,--,--,--,--,--,11:59:41,12:03:10,12:06:11,12:10:25,12:12:39,12:14:18,12:15:40,12:16:57,12:18:00,12:18:49,12:20:02,12:21:09,12:23:00,12:23:55,12:24:55,12:25:44,12:26:51,12:27:34,12:28:18,12:29:02,12:30:06,12:31:57,12:34:09
BS6(s),--,--,--,--,--,--,12:03:00,12:06:01,12:10:15,12:12:29,12:14:08,12:15:30,12:16:47,12:17:50,12:18:39,12:19:52,12:20:59,12:22:50,12:23:45,12:24:45,12:25:34,12:26:41,12:27:24,12:28:08,12:28:52,12:29:56,12:31:47,12:33:59
BS7(s),--,--,--,--,--,--,--,12:04:23,12:08:37,12:10:51,12:12:30,12:13:52,12:15:09,12:16:12,12:17:01,12:18:14,12:19:21,12:21:12,12:22:07,12:23:07,12:23:56,12:25:03,12:25:46,12:26:30,12:27:14,12:28:18,12:30:09,12:32:21
BS8(s),--,--,--,--,--,--,--,--,12:06:54,12:09:08,12:10:47,12:12:09,12:13:26,12:14:29,12:15:18,12:16:31,12:17:38,12:19:29,12:20:24,12:21:24,12:22:13,12:23:20,12:24:03,12:24:47,12:25:31,12:26:35,12:28:26,12:30:38
BS9(s),--,--,--,--,--,--,--,--,--,12:07:12,12:08:51,12:10:13,12:11:30,12:12:33,12:13:22,12:14:35,12:15:42,12:17:33,12:18:28,12:19:28,12:20:17,12:21:24,12:22:07,12:22:51,12:23:35,12:24:39,12:26:30,12:28:42
BS10(s),--,--,--,--,--,--,--,--,--,--,12:07:46,12:09:08,12:10:25,12:11:28,12:12:17,12:13:30,12:14:37,12:16:28,12:17:23,12:18:23,12:19:12,12:20:19,12:21:02,12:21:46,12:22:30,12:23:34,12:25:25,12:27:37
BS11,--,--,--,--,--,--,--,--,--,--,--,12:08:48,12:10:05,12:11:08,12:11:57,12:13:10,12:14:17,12:16:08,12:17:03,12:18:03,12:18:52,12:19:59,12:20:42,12:21:26,12:22:10,12:23:14,12:25:05,12:27:17
BS12,--,--,--,--,--,--,--,--,--,--,--,--,12:09:49,12:10:52,12:11:41,12:12:54,12:14:01,12:15:52,12:16:47,12:17:47,12:18:36,12:19:43,12:20:26,12:21:10,12:21:54,12:22:58,12:24:49,12:27:01
