,BS1(s),BS2,BS3,BS4(s),BS5,BS6,BS7,BS8,BS9,BS10(s),BS11(s),BS12,BS13(s),BS14,BS15,BS16,BS17,BS18,BS19(s),BS20(s),BS21,BS22,BS23,BS24(s),BS25(s)
BS1(s),--,16:05:15,16:07:09,16:08:47,16:09:40,16:10:36,16:11:29,16:12:37,16:14:11,16:15:24,16:17:56,16:18:48,16:21:02,16:22:40,16:23:31,16:24:38,16:26:02,16:28:32,16:31:50,16:33:53,16:34:39,16:35:22,16:36:03,16:37:51,16:38:52
BS2,--,--,16:06:44,16:08:22,16:09:15,16:10:11,16:11:04,16:12:12,16:13:46,16:14:59,16:17:31,16:18:23,16:20:37,16:22:15,16:23:06,16:24:13,16:25:37,16:28:07,16:31:25,16:33:28,16:34:14,16:34:57,16:35:38,16:37:26,16:38:27
BS3,--,--,--,16:08:29,16:09:22,16:10:18,16:11:11,16:12:19,16:13:53,16:15:06,16:17:38,16:18:30,16:20:44,16:22:22,16:23:13,16:24:20,16:25:44,16:28:14,16:31:32,16:33:35,16:34:21,16:35:04,16:35:45,16:37:33,16:38:34
BS4(s),--,--,--,--,16:08:51,16:09:47,16:10:40,16:11:48,16:13:22,16:14:35,16:17:07,16:17:59,16:20:13,16:21:51,16:22:42,16:23:49,16:25:13,16:27:43,16:31:01,16:33:04,16:33:50,16:34:33,16:35:14,16:37:02,16:38:03
BS5,--,--,--,--,--,16:09:37,16:10:30,16:11:38,16:13:12,16:14:25,16:16:57,16:17:49,16:20:03,16:21:41,16:22:32,16:23:39,16:25:03,16:27:33,16:30:51,16:32:54,16:33:40,16:34:23,16:35:04,16:36:52,16:37:53
BS6,--,--,--,--,--,--,16:10:18,16:11:26,16:13:00,16:14:13,16:16:45,16:17:37,16:19:51,16:21:29,16:22:20,16:23:27,16:24:51,16:27:21,16:30:39,16:32:42,16:33:28,16:34:11,16:34:52,16:36:40,16:37:41
BS7,--,--,--,--,--,--,--,16:11:10,16:12:44,16:13:57,16:16:29,16:17:21,16:19:35,16:21:13,16:22:04,16:23:11,16:24:35,16:27:05,16:30:23,16:32:26,16:33:12,16:33:55,16:34:36,16:36:24,16:37:25
BS8,--,--,--,--,--,--,--,--,16:12:37,16:13:50,16:16:22,16:17:14,16:19:28,16:21:06,16:21:57,16:23:04,16:24:28,16:26:58,16:30:16,16:32:19,16:33:05,16:33:48,16:34:29,16:36:17,16:37:18
BS9,--,--,--,--,--,--,--,--,--,16:14:17,16:16:49,16:17:41,16:19:55,16:21:33,16:22:24,16:23:31,16:24:55,16:27:25,16:30:43,16:32:46,16:33:32,16:34:15,16:34:56,16:36:44,16:37:45
BS10(s),--,--,--,--,--,--,--,--,--,--,16:16:28,16:17:20,16:19:34,16:21:12,16:22:03,16:23:10,16:24:34,16:27:04,16:30:22,16:32:25,16:33:11,16:33:54,16:34:35,16:36:23,16:37:24
BS11(s),--,--,--,--,--,--,--,--,--,--,--,16:16:12,16:18:26,16:20:04,16:20:55,16:22:02,16:23:26,16:25:56,16:29:14,16:31:17,16:32:03,16:32:46,16:33:27,16:35:15,16:36:16
BS12,--,--,--,--,--,--,--,--,--,--,--,--,16:18:07,16:19:45,16:20:36,16:21:43,16:23:07,16:25:37,16:28:55,16:30:58,16:31:44,16:32:27,16:33:08,16:34:56,16:35:57
BS13(s),--,--,--,--,--,--,--,--,--,--,--,--,--,16:19:06,16:19:57,16:21:04,16:22:28,16:24:58,16:28:16,16:30:19,16:31:05,16:31:48,16:32:29,16:34:17,16:35:18
BS14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:19:24,16:20:31,16:21:55,16:24:25,16:27:43,16:29:46,16:30:32,16:31:15,16:31:56,16:33:44,16:34:45
BS15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:20:09,16:21:33,16:24:03,16:27:21,16:29:24,16:30:10,16:30:53,16:31:34,16:33:22,16:34:23
BS16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:21:34,16:24:04,16:27:22,16:29:25,16:30:11,16:30:54,16:31:35,16:33:23,16:34:24
BS17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:24:22,16:27:40,16:29:43,16:30:29,16:31:12,16:31:53,16:33:41,16:34:42
BS18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:35:34,16:37:37,16:38:23,16:39:06,16:39:47,16:41:35,16:42:36
BS19(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:36:45,16:37:31,16:38:14,16:38:55,16:40:43,16:41:44
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:36:32,16:37:15,16:37:56,16:39:44,16:40:45
BS21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:37:16,16:37:57,16:39:45,16:40:46
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:38:21,16:40:09,16:41:10
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:40:40,16:41:41
BS24(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16:41:41
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
