,BS1(s),BS2,BS3,BS4,BS5,BS6(s),BS7,BS8,BS9,BS10(s),BS11(s),BS12(s),BS13,BS14,BS15(s),BS16(s),BS17(s),BS18(s),BS19(s),BS20,BS21(s),BS22,BS23,BS24,BS25(s)
BS1(s),--,11:04:18,11:06:23,11:07:35,11:08:36,11:10:04,11:11:03,11:12:19,11:13:58,11:15:17,11:18:03,11:19:18,11:21:03,11:22:47,11:23:56,11:25:23,11:27:31,11:37:08,11:42:35,11:43:11,11:45:20,11:45:48,11:46:16,11:45:59,11:47:11
BS2,--,--,11:06:03,11:07:15,11:08:16,11:09:44,11:10:43,11:11:59,11:13:38,11:14:57,11:17:43,11:18:58,11:20:43,11:22:27,11:23:36,11:25:03,11:27:11,11:36:48,11:42:15,11:42:51,11:45:00,11:45:28,11:45:56,11:45:39,11:46:51
BS3,--,--,--,11:07:48,11:08:49,11:10:17,11:11:16,11:12:32,11:14:11,11:15:30,11:18:16,11:19:31,11:21:16,11:23:00,11:24:09,11:25:36,11:27:44,11:37:21,11:42:48,11:43:24,11:45:33,11:46:01,11:46:29,11:46:12,11:47:24
BS4,--,--,--,--,11:08:43,11:10:11,11:11:10,11:12:26,11:14:05,11:15:24,11:18:10,11:19:25,11:21:10,11:22:54,11:24:03,11:25:30,11:27:38,11:37:15,11:42:42,11:43:18,11:45:27,11:45:55,11:46:23,11:46:06,11:47:18
BS5,--,--,--,--,--,11:09:57,11:10:56,11:12:12,11:13:51,11:15:10,11:17:56,11:19:11,11:20:56,11:22:40,11:23:49,11:25:16,11:27:24,11:37:01,11:42:28,11:43:04,11:45:13,11:45:41,11:46:09,11:45:52,11:47:04
BS6(s),--,--,--,--,--,--,11:10:06,11:11:22,11:13:01,11:14:20,11:17:06,11:18:21,11:20:06,11:21:50,11:22:59,11:24:26,11:26:34,11:36:11,11:41:38,11:42:14,11:44:23,11:44:51,11:45:19,11:45:02,11:46:14
BS7,--,--,--,--,--,--,--,11:11:20,11:12:59,11:14:18,11:17:04,11:18:19,11:20:04,11:21:48,11:22:57,11:24:24,11:26:32,11:36:09,11:41:36,11:42:12,11:44:21,11:44:49,11:45:17,11:45:00,11:46:12
BS8,--,--,--,--,--,--,--,--,11:12:58,11:14:17,11:17:03,11:18:18,11:20:03,11:21:47,11:22:56,11:24:23,11:26:31,11:36:08,11:41:35,11:42:11,11:44:20,11:44:48,11:45:16,11:44:59,11:46:11
BS9,--,--,--,--,--,--,--,--,--,11:13:58,11:16:44,11:17:59,11:19:44,11:21:28,11:22:37,11:24:04,11:26:12,11:35:49,11:41:16,11:41:52,11:44:01,11:44:29,11:44:57,11:44:40,11:45:52
BS10(s),--,--,--,--,--,--,--,--,--,--,11:16:14,11:17:29,11:19:14,11:20:58,11:22:07,11:23:34,11:25:42,11:35:19,11:40:46,11:41:22,11:43:31,11:43:59,11:44:27,11:44:10,11:45:22
BS11(s),--,--,--,--,--,--,--,--,--,--,--,11:16:10,11:17:55,11:19:39,11:20:48,11:22:15,11:24:23,11:34:00,11:39:27,11:40:03,11:42:12,11:42:40,11:43:08,11:42:51,11:44:03
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,11:17:27,11:19:11,11:20:20,11:21:47,11:23:55,11:33:32,11:38:59,11:39:35,11:41:44,11:42:12,11:42:40,11:42:23,11:43:35
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,11:18:53,11:20:02,11:21:29,11:23:37,11:33:14,11:38:41,11:39:17,11:41:26,11:41:54,11:42:22,11:42:05,11:43:17
BS14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:19:36,11:21:03,11:23:11,11:32:48,11:38:15,11:38:51,11:41:00,11:41:28,11:41:56,11:41:39,11:42:51
BS15(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:20:35,11:22:43,11:32:20,11:37:47,11:38:23,11:40:32,11:41:00,11:41:28,11:41:11,11:42:23
BS16(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:21:55,11:31:32,11:36:59,11:37:35,11:39:44,11:40:12,11:40:40,11:40:23,11:41:35
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:31:54,11:37:21,11:37:57,11:40:06,11:40:34,11:41:02,11:40:45,11:41:57
BS18(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:39:53,11:40:29,11:42:38,11:43:06,11:43:34,11:43:17,11:44:29
BS19(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:38:01,11:40:10,11:40:38,11:41:06,11:40:49,11:42:01
BS20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:41:21,11:41:49,11:42:17,11:42:00,11:43:12
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:41:36,11:42:04,11:41:47,11:42:59
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:43:07,11:42:50,11:44:02
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:43:23,11:44:35
BS24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11:51:52
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
