,BS1(s),BS2,BS3,BS4(s),BS5(s),BS6(s),BS7,BS8,BS9,BS10,BS11,BS12(s),BS13,BS14,BS15(s),BS16,BS17,BS18(s),BS19(s),BS20(s),BS21(s),BS22,BS23,BS24(s),BS25(s)
BS1(s),--,17:05:43,17:07:20,17:09:06,17:10:24,17:11:46,17:12:35,17:13:39,17:15:04,17:15:57,17:17:39,17:18:44,17:20:19,17:21:55,17:22:58,17:24:01,17:25:27,17:30:07,17:33:04,17:34:55,17:36:06,17:36:35,17:37:03,17:38:23,17:39:12
BS2,--,--,17:07:24,17:09:10,17:10:28,17:11:50,17:12:39,17:13:43,17:15:08,17:16:01,17:17:43,17:18:48,17:20:23,17:21:59,17:23:02,17:24:05,17:25:31,17:30:11,17:33:08,17:34:59,17:36:10,17:36:39,17:37:07,17:38:27,17:39:16
BS3,--,--,--,17:11:26,17:12:44,17:14:06,17:14:55,17:15:59,17:17:24,17:18:17,17:19:59,17:21:04,17:22:39,17:24:15,17:25:18,17:26:21,17:27:47,17:32:27,17:35:24,17:37:15,17:38:26,17:38:55,17:39:23,17:40:43,17:41:32
BS4(s),--,--,--,--,17:11:56,17:13:18,17:14:07,17:15:11,17:16:36,17:17:29,17:19:11,17:20:16,17:21:51,17:23:27,17:24:30,17:25:33,17:26:59,17:31:39,17:34:36,17:36:27,17:37:38,17:38:07,17:38:35,17:39:55,17:40:44
BS5(s),--,--,--,--,--,17:12:32,17:13:21,17:14:25,17:15:50,17:16:43,17:18:25,17:19:30,17:21:05,17:22:41,17:23:44,17:24:47,17:26:13,17:30:53,17:33:50,17:35:41,17:36:52,17:37:21,17:37:49,17:39:09,17:39:58
BS6(s),--,--,--,--,--,--,17:12:30,17:13:34,17:14:59,17:15:52,17:17:34,17:18:39,17:20:14,17:21:50,17:22:53,17:23:56,17:25:22,17:30:02,17:32:59,17:34:50,17:36:01,17:36:30,17:36:58,17:38:18,17:39:07
BS7,--,--,--,--,--,--,--,17:13:15,17:14:40,17:15:33,17:17:15,17:18:20,17:19:55,17:21:31,17:22:34,17:23:37,17:25:03,17:29:43,17:32:40,17:34:31,17:35:42,17:36:11,17:36:39,17:37:59,17:38:48
BS8,--,--,--,--,--,--,--,--,17:14:20,17:15:13,17:16:55,17:18:00,17:19:35,17:21:11,17:22:14,17:23:17,17:24:43,17:29:23,17:32:20,17:34:11,17:35:22,17:35:51,17:36:19,17:37:39,17:38:28
BS9,--,--,--,--,--,--,--,--,--,17:14:49,17:16:31,17:17:36,17:19:11,17:20:47,17:21:50,17:22:53,17:24:19,17:28:59,17:31:56,17:33:47,17:34:58,17:35:27,17:35:55,17:37:15,17:38:04
BS10,--,--,--,--,--,--,--,--,--,--,17:16:19,17:17:24,17:18:59,17:20:35,17:21:38,17:22:41,17:24:07,17:28:47,17:31:44,17:33:35,17:34:46,17:35:15,17:35:43,17:37:03,17:37:52
BS11,--,--,--,--,--,--,--,--,--,--,--,17:16:59,17:18:34,17:20:10,17:21:13,17:22:16,17:23:42,17:28:22,17:31:19,17:33:10,17:34:21,17:34:50,17:35:18,17:36:38,17:37:27
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,17:18:11,17:19:47,17:20:50,17:21:53,17:23:19,17:27:59,17:30:56,17:32:47,17:33:58,17:34:27,17:34:55,17:36:15,17:37:04
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,17:19:26,17:20:29,17:21:32,17:22:58,17:27:38,17:30:35,17:32:26,17:33:37,17:34:06,17:34:34,17:35:54,17:36:43
BS14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:20:02,17:21:05,17:22:31,17:27:11,17:30:08,17:31:59,17:33:10,17:33:39,17:34:07,17:35:27,17:36:16
BS15(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:20:27,17:21:53,17:26:33,17:29:30,17:31:21,17:32:32,17:33:01,17:33:29,17:34:49,17:35:38
BS16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:21:33,17:26:13,17:29:10,17:31:01,17:32:12,17:32:41,17:33:09,17:34:29,17:35:18
BS17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:26:25,17:29:22,17:31:13,17:32:24,17:32:53,17:33:21,17:34:41,17:35:30
BS18(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:39:40,17:41:31,17:42:42,17:43:11,17:43:39,17:44:59,17:45:48
BS19(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:41:47,17:42:58,17:43:27,17:43:55,17:45:15,17:46:04
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:42:55,17:43:24,17:43:52,17:45:12,17:46:01
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:43:48,17:44:16,17:45:36,17:46:25
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:44:58,17:46:18,17:47:07
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:47:11,17:48:00
BS24(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:48:40
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
