,BS1,BS2,BS3,BS4(s),BS5,BS6,BS7(s),BS8,BS9,BS10,BS11,BS12(s),BS13,BS14,BS15,BS16(s),BS17(s),BS18(s),BS19,BS20(s),BS21,BS22,BS23,BS24(s),BS25(s)
BS1,--,08:31:25,08:33:11,08:34:22,08:35:21,08:36:20,08:37:20,08:38:31,08:40:05,08:41:04,08:42:53,08:43:54,08:45:34,08:47:15,08:48:12,08:49:24,08:51:06,09:01:21,09:03:04,09:06:31,09:07:23,09:08:09,09:08:52,09:11:18,09:12:41
BS2,--,--,08:32:48,08:33:59,08:34:58,08:35:57,08:36:57,08:38:08,08:39:42,08:40:41,08:42:30,08:43:31,08:45:11,08:46:52,08:47:49,08:49:01,08:50:43,09:00:58,09:02:41,09:06:08,09:07:00,09:07:46,09:08:29,09:10:55,09:12:18
BS3,--,--,--,08:34:25,08:35:24,08:36:23,08:37:23,08:38:34,08:40:08,08:41:07,08:42:56,08:43:57,08:45:37,08:47:18,08:48:15,08:49:27,08:51:09,09:01:24,09:03:07,09:06:34,09:07:26,09:08:12,09:08:55,09:11:21,09:12:44
BS4(s),--,--,--,--,08:34:54,08:35:53,08:36:53,08:38:04,08:39:38,08:40:37,08:42:26,08:43:27,08:45:07,08:46:48,08:47:45,08:48:57,08:50:39,09:00:54,09:02:37,09:06:04,09:06:56,09:07:42,09:08:25,09:10:51,09:12:14
BS5,--,--,--,--,--,08:35:38,08:36:38,08:37:49,08:39:23,08:40:22,08:42:11,08:43:12,08:44:52,08:46:33,08:47:30,08:48:42,08:50:24,09:00:39,09:02:22,09:05:49,09:06:41,09:07:27,09:08:10,09:10:36,09:11:59
BS6,--,--,--,--,--,--,08:36:21,08:37:32,08:39:06,08:40:05,08:41:54,08:42:55,08:44:35,08:46:16,08:47:13,08:48:25,08:50:07,09:00:22,09:02:05,09:05:32,09:06:24,09:07:10,09:07:53,09:10:19,09:11:42
BS7(s),--,--,--,--,--,--,--,08:37:11,08:38:45,08:39:44,08:41:33,08:42:34,08:44:14,08:45:55,08:46:52,08:48:04,08:49:46,09:00:01,09:01:44,09:05:11,09:06:03,09:06:49,09:07:32,09:09:58,09:11:21
BS8,--,--,--,--,--,--,--,--,08:38:22,08:39:21,08:41:10,08:42:11,08:43:51,08:45:32,08:46:29,08:47:41,08:49:23,08:59:38,09:01:21,09:04:48,09:05:40,09:06:26,09:07:09,09:09:35,09:10:58
BS9,--,--,--,--,--,--,--,--,--,08:39:13,08:41:02,08:42:03,08:43:43,08:45:24,08:46:21,08:47:33,08:49:15,08:59:30,09:01:13,09:04:40,09:05:32,09:06:18,09:07:01,09:09:27,09:10:50
BS10,--,--,--,--,--,--,--,--,--,--,08:40:35,08:41:36,08:43:16,08:44:57,08:45:54,08:47:06,08:48:48,08:59:03,09:00:46,09:04:13,09:05:05,09:05:51,09:06:34,09:09:00,09:10:23
BS11,--,--,--,--,--,--,--,--,--,--,--,08:41:00,08:42:40,08:44:21,08:45:18,08:46:30,08:48:12,08:58:27,09:00:10,09:03:37,09:04:29,09:05:15,09:05:58,09:08:24,09:09:47
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,08:42:22,08:44:03,08:45:00,08:46:12,08:47:54,08:58:09,08:59:52,09:03:19,09:04:11,09:04:57,09:05:40,09:08:06,09:09:29
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,08:43:37,08:44:34,08:45:46,08:47:28,08:57:43,08:59:26,09:02:53,09:03:45,09:04:31,09:05:14,09:07:40,09:09:03
BS14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,08:43:52,08:45:04,08:46:46,08:57:01,08:58:44,09:02:11,09:03:03,09:03:49,09:04:32,09:06:58,09:08:21
BS15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,08:44:52,08:46:34,08:56:49,08:58:32,09:01:59,09:02:51,09:03:37,09:04:20,09:06:46,09:08:09
BS16(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,08:46:55,08:57:10,08:58:53,09:02:20,09:03:12,09:03:58,09:04:41,09:07:07,09:08:30
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,08:57:04,08:58:47,09:02:14,09:03:06,09:03:52,09:04:35,09:07:01,09:08:24
BS18(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:03:08,09:06:35,09:07:27,09:08:13,09:08:56,09:11:22,09:12:45
BS19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:08:32,09:09:24,09:10:10,09:10:53,09:13:19,09:14:42
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:07:34,09:08:20,09:09:03,09:11:29,09:12:52
BS21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:09:01,09:09:44,09:12:10,09:13:33
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:10:31,09:12:57,09:14:20
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:13:35,09:14:58
BS24(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,09:16:02
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
