,BS1(s),BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9(s),BS10,BS11(s),BS12(s),BS13,BS14,BS15(s),BS16,BS17(s),BS18(s),BS19(s),BS20(s),BS21(s),BS22,BS23,BS24,BS25(s)
BS1(s),--,10:12:44,10:14:44,10:15:51,10:16:50,10:17:49,10:18:44,10:19:56,10:21:47,10:22:45,10:24:59,10:26:03,10:29:34,10:31:08,10:32:08,10:33:11,10:34:53,10:41:24,10:45:50,10:48:37,10:50:26,10:51:09,10:51:51,10:52:40,10:53:59
BS2,--,--,10:14:55,10:16:02,10:17:01,10:18:00,10:18:55,10:20:07,10:21:58,10:22:56,10:25:10,10:26:14,10:29:45,10:31:19,10:32:19,10:33:22,10:35:04,10:41:35,10:46:01,10:48:48,10:50:37,10:51:20,10:52:02,10:52:51,10:54:10
BS3,--,--,--,10:18:12,10:19:11,10:20:10,10:21:05,10:22:17,10:24:08,10:25:06,10:27:20,10:28:24,10:31:55,10:33:29,10:34:29,10:35:32,10:37:14,10:43:45,10:48:11,10:50:58,10:52:47,10:53:30,10:54:12,10:55:01,10:56:20
BS4,--,--,--,--,10:18:52,10:19:51,10:20:46,10:21:58,10:23:49,10:24:47,10:27:01,10:28:05,10:31:36,10:33:10,10:34:10,10:35:13,10:36:55,10:43:26,10:47:52,10:50:39,10:52:28,10:53:11,10:53:53,10:54:42,10:56:01
BS5,--,--,--,--,--,10:19:38,10:20:33,10:21:45,10:23:36,10:24:34,10:26:48,10:27:52,10:31:23,10:32:57,10:33:57,10:35:00,10:36:42,10:43:13,10:47:39,10:50:26,10:52:15,10:52:58,10:53:40,10:54:29,10:55:48
BS6,--,--,--,--,--,--,10:20:14,10:21:26,10:23:17,10:24:15,10:26:29,10:27:33,10:31:04,10:32:38,10:33:38,10:34:41,10:36:23,10:42:54,10:47:20,10:50:07,10:51:56,10:52:39,10:53:21,10:54:10,10:55:29
BS7,--,--,--,--,--,--,--,10:21:23,10:23:14,10:24:12,10:26:26,10:27:30,10:31:01,10:32:35,10:33:35,10:34:38,10:36:20,10:42:51,10:47:17,10:50:04,10:51:53,10:52:36,10:53:18,10:54:07,10:55:26
BS8,--,--,--,--,--,--,--,--,10:23:18,10:24:16,10:26:30,10:27:34,10:31:05,10:32:39,10:33:39,10:34:42,10:36:24,10:42:55,10:47:21,10:50:08,10:51:57,10:52:40,10:53:22,10:54:11,10:55:30
BS9(s),--,--,--,--,--,--,--,--,--,10:23:28,10:25:42,10:26:46,10:30:17,10:31:51,10:32:51,10:33:54,10:35:36,10:42:07,10:46:33,10:49:20,10:51:09,10:51:52,10:52:34,10:53:23,10:54:42
BS10,--,--,--,--,--,--,--,--,--,--,10:25:21,10:26:25,10:29:56,10:31:30,10:32:30,10:33:33,10:35:15,10:41:46,10:46:12,10:48:59,10:50:48,10:51:31,10:52:13,10:53:02,10:54:21
BS11(s),--,--,--,--,--,--,--,--,--,--,--,10:25:47,10:29:18,10:30:52,10:31:52,10:32:55,10:34:37,10:41:08,10:45:34,10:48:21,10:50:10,10:50:53,10:51:35,10:52:24,10:53:43
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,10:28:48,10:30:22,10:31:22,10:32:25,10:34:07,10:40:38,10:45:04,10:47:51,10:49:40,10:50:23,10:51:05,10:51:54,10:53:13
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,10:29:52,10:30:52,10:31:55,10:33:37,10:40:08,10:44:34,10:47:21,10:49:10,10:49:53,10:50:35,10:51:24,10:52:43
BS14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:30:27,10:31:30,10:33:12,10:39:43,10:44:09,10:46:56,10:48:45,10:49:28,10:50:10,10:50:59,10:52:18
BS15(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:31:06,10:32:48,10:39:19,10:43:45,10:46:32,10:48:21,10:49:04,10:49:46,10:50:35,10:51:54
BS16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:32:32,10:39:03,10:43:29,10:46:16,10:48:05,10:48:48,10:49:30,10:50:19,10:51:38
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:39:21,10:43:47,10:46:34,10:48:23,10:49:06,10:49:48,10:50:37,10:51:56
BS18(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:48:10,10:50:57,10:52:46,10:53:29,10:54:11,10:55:00,10:56:19
BS19(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:49:46,10:51:35,10:52:18,10:53:00,10:53:49,10:55:08
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:50:09,10:50:52,10:51:34,10:52:23,10:53:42
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:50:18,10:51:00,10:51:49,10:53:08
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:51:23,10:52:12,10:53:31
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:52:42,10:54:01
BS24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10:55:00
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
