,BS1(s),BS2,BS3,BS4(s),BS5,BS6,BS7,BS8,BS9,BS10,BS11(s),BS12(s),BS13,BS14,BS15(s),BS16(s),BS17(s),BS18(s),BS19(s),BS20(s),BS21,BS22,BS23(s),BS24(s),BS25(s)
BS1(s),--,18:07:12,18:08:59,18:10:14,18:11:06,18:12:00,18:12:51,18:13:58,18:15:33,18:16:29,18:18:41,18:19:40,18:21:21,18:22:59,18:23:57,18:25:10,18:27:04,18:37:31,18:43:55,18:47:33,18:48:23,18:49:08,18:50:44,18:53:18,18:54:37
BS2,--,--,18:08:42,18:09:57,18:10:49,18:11:43,18:12:34,18:13:41,18:15:16,18:16:12,18:18:24,18:19:23,18:21:04,18:22:42,18:23:40,18:24:53,18:26:47,18:37:14,18:43:38,18:47:16,18:48:06,18:48:51,18:50:27,18:53:01,18:54:20
BS3,--,--,--,18:10:03,18:10:55,18:11:49,18:12:40,18:13:47,18:15:22,18:16:18,18:18:30,18:19:29,18:21:10,18:22:48,18:23:46,18:24:59,18:26:53,18:37:20,18:43:44,18:47:22,18:48:12,18:48:57,18:50:33,18:53:07,18:54:26
BS4(s),--,--,--,--,18:10:37,18:11:31,18:12:22,18:13:29,18:15:04,18:16:00,18:18:12,18:19:11,18:20:52,18:22:30,18:23:28,18:24:41,18:26:35,18:37:02,18:43:26,18:47:04,18:47:54,18:48:39,18:50:15,18:52:49,18:54:08
BS5,--,--,--,--,--,18:11:23,18:12:14,18:13:21,18:14:56,18:15:52,18:18:04,18:19:03,18:20:44,18:22:22,18:23:20,18:24:33,18:26:27,18:36:54,18:43:18,18:46:56,18:47:46,18:48:31,18:50:07,18:52:41,18:54:00
BS6,--,--,--,--,--,--,18:12:04,18:13:11,18:14:46,18:15:42,18:17:54,18:18:53,18:20:34,18:22:12,18:23:10,18:24:23,18:26:17,18:36:44,18:43:08,18:46:46,18:47:36,18:48:21,18:49:57,18:52:31,18:53:50
BS7,--,--,--,--,--,--,--,18:13:17,18:14:52,18:15:48,18:18:00,18:18:59,18:20:40,18:22:18,18:23:16,18:24:29,18:26:23,18:36:50,18:43:14,18:46:52,18:47:42,18:48:27,18:50:03,18:52:37,18:53:56
BS8,--,--,--,--,--,--,--,--,18:14:40,18:15:36,18:17:48,18:18:47,18:20:28,18:22:06,18:23:04,18:24:17,18:26:11,18:36:38,18:43:02,18:46:40,18:47:30,18:48:15,18:49:51,18:52:25,18:53:44
BS9,--,--,--,--,--,--,--,--,--,18:16:02,18:18:14,18:19:13,18:20:54,18:22:32,18:23:30,18:24:43,18:26:37,18:37:04,18:43:28,18:47:06,18:47:56,18:48:41,18:50:17,18:52:51,18:54:10
BS10,--,--,--,--,--,--,--,--,--,--,18:18:14,18:19:13,18:20:54,18:22:32,18:23:30,18:24:43,18:26:37,18:37:04,18:43:28,18:47:06,18:47:56,18:48:41,18:50:17,18:52:51,18:54:10
BS11(s),--,--,--,--,--,--,--,--,--,--,--,18:18:20,18:20:01,18:21:39,18:22:37,18:23:50,18:25:44,18:36:11,18:42:35,18:46:13,18:47:03,18:47:48,18:49:24,18:51:58,18:53:17
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,18:19:40,18:21:18,18:22:16,18:23:29,18:25:23,18:35:50,18:42:14,18:45:52,18:46:42,18:47:27,18:49:03,18:51:37,18:52:56
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,18:20:53,18:21:51,18:23:04,18:24:58,18:35:25,18:41:49,18:45:27,18:46:17,18:47:02,18:48:38,18:51:12,18:52:31
BS14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:21:18,18:22:31,18:24:25,18:34:52,18:41:16,18:44:54,18:45:44,18:46:29,18:48:05,18:50:39,18:51:58
BS15(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:22:15,18:24:09,18:34:36,18:41:00,18:44:38,18:45:28,18:46:13,18:47:49,18:50:23,18:51:42
BS16(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:23:28,18:33:55,18:40:19,18:43:57,18:44:47,18:45:32,18:47:08,18:49:42,18:51:01
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:34:15,18:40:39,18:44:17,18:45:07,18:45:52,18:47:28,18:50:02,18:51:21
BS18(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:44:32,18:48:10,18:49:00,18:49:45,18:51:21,18:53:55,18:55:14
BS19(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:45:17,18:46:07,18:46:52,18:48:28,18:51:02,18:52:21
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:44:13,18:44:58,18:46:34,18:49:08,18:50:27
BS21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:45:25,18:47:01,18:49:35,18:50:54
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:47:29,18:50:03,18:51:22
BS23(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:50:17,18:51:36
BS24(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:51:09
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
