,BS1,BS2,BS3,BS4(s),BS5,BS6,BS7(s),BS8,BS9,BS10(s),BS11(s),BS12(s),BS13,BS14,BS15(s),BS16(s),BS17(s),BS18,BS19(s),BS20(s),BS21(s),BS22,BS23,BS24,BS25(s)
BS1,--,17:22:25,17:24:28,17:25:43,17:26:39,17:27:40,17:28:39,17:29:49,17:31:23,17:32:22,17:34:17,17:35:12,17:36:50,17:38:29,17:39:22,17:40:30,17:42:14,17:46:26,17:51:34,17:54:39,17:56:34,17:57:32,17:58:26,17:59:42,18:00:57
BS2,--,--,17:24:20,17:25:35,17:26:31,17:27:32,17:28:31,17:29:41,17:31:15,17:32:14,17:34:09,17:35:04,17:36:42,17:38:21,17:39:14,17:40:22,17:42:06,17:46:18,17:51:26,17:54:31,17:56:26,17:57:24,17:58:18,17:59:34,18:00:49
BS3,--,--,--,17:27:20,17:28:16,17:29:17,17:30:16,17:31:26,17:33:00,17:33:59,17:35:54,17:36:49,17:38:27,17:40:06,17:40:59,17:42:07,17:43:51,17:48:03,17:53:11,17:56:16,17:58:11,17:59:09,18:00:03,18:01:19,18:02:34
BS4(s),--,--,--,--,17:27:59,17:29:00,17:29:59,17:31:09,17:32:43,17:33:42,17:35:37,17:36:32,17:38:10,17:39:49,17:40:42,17:41:50,17:43:34,17:47:46,17:52:54,17:55:59,17:57:54,17:58:52,17:59:46,18:01:02,18:02:17
BS5,--,--,--,--,--,17:28:41,17:29:40,17:30:50,17:32:24,17:33:23,17:35:18,17:36:13,17:37:51,17:39:30,17:40:23,17:41:31,17:43:15,17:47:27,17:52:35,17:55:40,17:57:35,17:58:33,17:59:27,18:00:43,18:01:58
BS6,--,--,--,--,--,--,17:29:26,17:30:36,17:32:10,17:33:09,17:35:04,17:35:59,17:37:37,17:39:16,17:40:09,17:41:17,17:43:01,17:47:13,17:52:21,17:55:26,17:57:21,17:58:19,17:59:13,18:00:29,18:01:44
BS7(s),--,--,--,--,--,--,--,17:30:13,17:31:47,17:32:46,17:34:41,17:35:36,17:37:14,17:38:53,17:39:46,17:40:54,17:42:38,17:46:50,17:51:58,17:55:03,17:56:58,17:57:56,17:58:50,18:00:06,18:01:21
BS8,--,--,--,--,--,--,--,--,17:31:09,17:32:08,17:34:03,17:34:58,17:36:36,17:38:15,17:39:08,17:40:16,17:42:00,17:46:12,17:51:20,17:54:25,17:56:20,17:57:18,17:58:12,17:59:28,18:00:43
BS9,--,--,--,--,--,--,--,--,--,17:31:37,17:33:32,17:34:27,17:36:05,17:37:44,17:38:37,17:39:45,17:41:29,17:45:41,17:50:49,17:53:54,17:55:49,17:56:47,17:57:41,17:58:57,18:00:12
BS10(s),--,--,--,--,--,--,--,--,--,--,17:33:10,17:34:05,17:35:43,17:37:22,17:38:15,17:39:23,17:41:07,17:45:19,17:50:27,17:53:32,17:55:27,17:56:25,17:57:19,17:58:35,17:59:50
BS11(s),--,--,--,--,--,--,--,--,--,--,--,17:33:17,17:34:55,17:36:34,17:37:27,17:38:35,17:40:19,17:44:31,17:49:39,17:52:44,17:54:39,17:55:37,17:56:31,17:57:47,17:59:02
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,17:34:39,17:36:18,17:37:11,17:38:19,17:40:03,17:44:15,17:49:23,17:52:28,17:54:23,17:55:21,17:56:15,17:57:31,17:58:46
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,17:35:56,17:36:49,17:37:57,17:39:41,17:43:53,17:49:01,17:52:06,17:54:01,17:54:59,17:55:53,17:57:09,17:58:24
BS14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:36:17,17:37:25,17:39:09,17:43:21,17:48:29,17:51:34,17:53:29,17:54:27,17:55:21,17:56:37,17:57:52
BS15(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:37:04,17:38:48,17:43:00,17:48:08,17:51:13,17:53:08,17:54:06,17:55:00,17:56:16,17:57:31
BS16(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:38:15,17:42:27,17:47:35,17:50:40,17:52:35,17:53:33,17:54:27,17:55:43,17:56:58
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:42:40,17:47:48,17:50:53,17:52:48,17:53:46,17:54:40,17:55:56,17:57:11
BS18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:56:20,17:59:25,18:01:20,18:02:18,18:03:12,18:04:28,18:05:43
BS19(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:57:40,17:59:35,18:00:33,18:01:27,18:02:43,18:03:58
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:57:50,17:58:48,17:59:42,18:00:58,18:02:13
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:58:03,17:58:57,18:00:13,18:01:28
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17:58:56,18:00:12,18:01:27
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:00:42,18:01:57
BS24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:02:27
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
