,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17,BS18,BS19,BS20,BS21,BS22,BS23,BS24,BS25,BS26,BS27,BS28
BS1,,0.5,0.48,1.08,0.9,1.15,2.71,4.29,4.76,5.58,6.03,6.15,4.31,4.26,4.6,4.31,3.29,2.45,2.48,2.56,2.97,2.95,3.13,3.11,3.11,3.12,3.13,3.08
BS2,,,-0.03,0.57,0.4,0.64,2.21,3.78,4.25,5.07,5.53,5.64,3.81,3.75,4.1,3.81,2.79,1.95,1.98,2.05,2.47,2.45,2.63,2.6,2.6,2.62,2.63,2.58
BS3,,,,0.6,0.43,0.67,2.24,3.81,4.28,5.1,5.56,5.67,3.84,3.78,4.13,3.83,2.81,1.98,2.0,2.08,2.49,2.47,2.66,2.63,2.63,2.65,2.66,2.61
BS4,,,,,-0.17,0.07,1.64,3.21,3.68,4.5,4.95,5.07,3.23,3.18,3.52,3.23,2.21,1.38,1.4,1.48,1.89,1.87,2.06,2.03,2.03,2.05,2.06,2.01
BS5,,,,,,0.25,1.81,3.39,3.85,4.67,5.13,5.24,3.41,3.35,3.7,3.41,2.39,1.55,1.58,1.65,2.06,2.05,2.23,2.2,2.2,2.22,2.23,2.18
BS6,,,,,,,1.56,3.14,3.61,4.43,4.88,5.0,3.16,3.11,3.45,3.16,2.14,1.31,1.33,1.41,1.82,1.8,1.99,1.96,1.96,1.97,1.99,1.94
BS7,,,,,,,,1.58,2.05,2.86,3.32,3.43,1.6,1.54,1.89,1.6,0.58,-0.26,-0.23,-0.16,0.26,0.24,0.42,0.39,0.39,0.41,0.42,0.37
BS8,,,,,,,,,0.47,1.29,1.74,1.86,0.02,-0.03,0.31,0.02,-1.0,-1.84,-1.81,-1.73,-1.32,-1.34,-1.15,-1.18,-1.18,-1.17,-1.15,-1.21
BS9,,,,,,,,,,0.82,1.27,1.39,-0.44,-0.5,-0.16,-0.45,-1.47,-2.3,-2.28,-2.2,-1.79,-1.81,-1.62,-1.65,-1.65,-1.63,-1.62,-1.67
BS10,,,,,,,,,,,0.45,0.57,-1.26,-1.32,-0.97,-1.26,-2.29,-3.12,-3.1,-3.02,-2.61,-2.63,-2.44,-2.47,-2.47,-2.45,-2.44,-2.49
BS11,,,,,,,,,,,,0.11,-1.72,-1.77,-1.43,-1.72,-2.74,-3.58,-3.55,-3.48,-3.06,-3.08,-2.9,-2.93,-2.93,-2.91,-2.9,-2.95
BS12,,,,,,,,,,,,,-1.83,-1.89,-1.55,-1.83,-2.86,-3.69,-3.67,-3.59,-3.18,-3.2,-3.01,-3.04,-3.04,-3.02,-3.01,-3.06
BS13,,,,,,,,,,,,,,-0.06,0.29,-0.0,-1.02,-1.86,-1.83,-1.76,-1.34,-1.36,-1.18,-1.21,-1.21,-1.19,-1.18,-1.23
BS14,,,,,,,,,,,,,,,0.35,0.06,-0.97,-1.8,-1.78,-1.7,-1.29,-1.31,-1.12,-1.15,-1.15,-1.13,-1.12,-1.17
BS15,,,,,,,,,,,,,,,,-0.29,-1.31,-2.15,-2.12,-2.05,-1.63,-1.65,-1.47,-1.5,-1.49,-1.48,-1.47,-1.52
BS16,,,,,,,,,,,,,,,,,-1.02,-1.86,-1.83,-1.76,-1.34,-1.36,-1.18,-1.21,-1.2,-1.19,-1.17,-1.23
BS17,,,,,,,,,,,,,,,,,,-0.84,-0.81,-0.73,-0.32,-0.34,-0.15,-0.18,-0.18,-0.16,-0.15,-0.21
BS18,,,,,,,,,,,,,,,,,,,0.03,0.1,0.51,0.5,0.68,0.65,0.66,0.67,0.68,0.63
BS19,,,,,,,,,,,,,,,,,,,,0.07,0.49,0.47,0.65,0.63,0.63,0.64,0.66,0.6
BS20,,,,,,,,,,,,,,,,,,,,,0.41,0.39,0.58,0.55,0.55,0.57,0.58,0.53
BS21,,,,,,,,,,,,,,,,,,,,,,-0.02,0.17,0.14,0.14,0.16,0.17,0.11
BS22,,,,,,,,,,,,,,,,,,,,,,,0.19,0.16,0.16,0.17,0.19,0.13
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.03,-0.01,-0.0,-0.05
BS24,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02,0.03,-0.02
BS25,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,-0.02
BS26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,-0.04
BS27,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05
BS28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
